word,score,wordCount,SVM_Rank
circuses,41.93201861524851,1,0
graham,32.51030962515837,1,1
fernandez,32.27799575337957,2,2
shipwreck,29.755081081767763,2,3
job.i,26.816460574972126,1,4
sacrament,26.674342368799994,1,5
dehumanizes,25.975443874880824,1,6
empathic,25.66588940669637,1,7
mueller,25.653648902358775,1,8
empathy,25.412510513548852,4,9
aerial,25.05368799543639,1,10
meranti,24.919683301351338,4,11
chartered,24.44303112781827,1,12
catchment,24.37772691093166,1,13
cetera,24.267021995816545,1,14
mutilate,24.122127298403004,2,15
gilbert,24.010954149323293,1,16
nicolas,23.98098894859147,1,17
"1,200-calorie",23.944904435693157,1,18
janis,23.676591857935637,1,19
zambia,23.481438019746395,1,20
gaza,23.341905191008333,3,21
grieve,23.28885006544812,2,22
plane,23.213076280388453,1,23
kils,22.82669690652273,1,24
compensation,22.641532400426247,1,25
comey,22.56968554225232,1,26
caimans,22.552813768634177,1,27
uganda,22.55182141552852,4,28
transit,22.348186031239262,1,29
snorkeling,22.066505957598515,1,30
vandalism,21.92065934278462,1,31
bus,21.69652629413974,9,32
calais,21.630140840103635,4,33
shanahan,21.618747937862327,1,34
burma,21.53576907577757,2,35
churches,21.522280323439485,1,36
brady,21.51993185240895,1,37
thomas,21.34183875185766,4,38
methylmercury,21.298846422218347,2,39
healing,20.782455298651495,3,40
normalize,20.733974451849388,1,41
malnourishment,20.67276817588473,1,42
brazil,20.62256560682229,11,43
wrecks,20.475211516584015,2,44
approx,20.473853255196108,1,45
cdc,20.429243294802898,1,46
duckworth,20.291645043437338,2,47
inopportune,20.24512191242662,1,48
heartbreaking,20.207832899458033,17,49
biographical,20.177721978453363,1,50
carraway,20.10453790161173,2,51
tears,20.08001795820632,9,52
sympathize,20.052384474801443,3,53
seats,20.03762088740631,2,54
rwanda,20.017051879928903,1,55
alexandria,19.89887925300763,1,56
capsized,19.856482243105027,1,57
tour,19.836929634177853,1,58
boat,19.821395979166446,8,59
mining,19.791471028104667,6,60
reproduction,19.766735231750015,1,61
circus,19.749713228572762,3,62
parole,19.723608415716217,1,63
intern,19.675703024985303,1,64
abuja,19.622372795752263,1,65
dehumanizing,19.60604127506721,1,66
swastikas,19.590677473906375,2,67
comunale,19.57644380326811,1,68
collins,19.471325255065832,1,69
oct,19.464234149925996,4,70
reef,19.38884326929327,5,71
primal,19.35469118342324,2,72
measles,19.317620822098103,1,73
ad,19.256100812130025,2,74
palmer,19.167616562230425,4,75
upheaval,19.129298597219076,1,76
nino,19.076940661499556,2,77
boarding,19.053894247126944,1,78
"220,000",19.039549835555697,1,79
commissioned,18.91320077346715,1,80
habitat,18.903235632927107,6,81
awareof,18.855986579032834,1,82
torn,18.758576846708817,11,83
conveyor,18.7022521753324,1,84
thiols,18.69824936595818,1,85
afrikaans,18.695300472836806,1,86
tumor,18.670497394064984,1,87
requ,18.667910390881325,1,88
emotional,18.590564464985725,14,89
raphael,18.573608593544474,5,90
churn,18.55251313796715,1,91
ceding,18.536891320408348,1,92
church,18.475179205818396,4,93
emotionally,18.464179554936464,7,94
cruise,18.43545564386221,3,95
buses,18.430648545908003,3,96
infants,18.382153769225127,3,97
oprah,18.376814074964454,2,98
tulsa,18.32910274261135,1,99
fasciitis,18.326532125433193,1,100
firsthand,18.25945149230377,1,101
soonest,18.250768252054083,1,102
sugar,18.2477838434522,1,103
dubose,18.19780917318477,2,104
reporting,18.189445179335312,6,105
monty,18.08687853559706,2,106
buss,18.068352089024454,1,107
sandu,18.064033980238268,1,108
nile,17.990331893198228,1,109
interview,17.96975776198389,5,110
insight,17.956657630338675,1,111
relaying,17.936343172275045,1,112
geographic,17.900495614982493,1,113
aircraft,17.87916848118825,4,114
salines,17.83517940626899,1,115
journey,17.826007858343196,1,116
"18,000",17.80675604257789,1,117
myanmar,17.800390979577767,1,118
orphaned,17.792195520205755,2,119
bono,17.74548428266855,1,120
privileges,17.73220441269283,1,121
glaciers,17.72319082556841,3,122
healer,17.69778129200629,1,123
orangutans,17.688738702344235,3,124
ulterior,17.68768197824961,1,125
months.i,17.687229037390537,1,126
iud,17.686485500694445,1,127
fortunate,17.65569944863024,3,128
nurturing,17.64954508840483,1,129
flyers,17.615152185773912,1,130
bleeding,17.543889693284186,1,131
job,17.543789295910017,35,132
conversion,17.527332894004733,4,133
awww,17.51931603705429,1,134
landed,17.499943846508984,1,135
hire,17.37578857751173,1,136
salary,17.36795678078501,3,137
arsons,17.347502031746938,1,138
grader,17.33702006102187,1,139
riot,17.33092460539198,2,140
senate,17.285733783813885,2,141
board,17.27007190440345,5,142
angelia,17.248614852987952,1,143
prayers,17.24623673243909,8,144
passengers,17.23663291440292,3,145
pruitt,17.191928193770295,1,146
busch,17.18705001729845,3,147
wounded,17.058375204031368,3,148
ticks,17.055322778663463,1,149
cbs,17.051225502004815,2,150
enclosure,17.04091439801744,3,151
lsot,16.9493330710988,1,152
prayer,16.932347961307432,4,153
wreck,16.91433536824079,5,154
philadelphia,16.905577459075705,5,155
tanzania,16.8936208519135,1,156
vomit,16.86320918929098,1,157
molested,16.855632075260946,3,158
humbling,16.84827108304607,1,159
pray,16.839403429203546,14,160
erving,16.789691790637875,1,161
messaging,16.74424033498161,1,162
di,16.694737872686897,1,163
wilson,16.686620989020202,1,164
protections,16.661703101598892,2,165
tug,16.588821017556953,1,166
"80,000",16.58348798879971,2,167
restoring,16.573523201465637,2,168
opera,16.55334792510025,1,169
mined,16.530688877335965,1,170
ashore,16.516031320754145,1,171
lions,16.46676192951489,2,172
counselling,16.389297522262787,1,173
historic,16.378735187817217,1,174
tragedies,16.37301520315918,6,175
role,16.348670807935278,8,176
devestated,16.3452243761943,1,177
walsh,16.33106065947201,1,178
decompensating,16.297140399245865,1,179
june,16.27193410494648,2,180
snack,16.271189598565602,1,181
rato,16.26314494593385,1,182
losses,16.218700676221037,1,183
quotas,16.20503420008903,2,184
bolivia,16.182318368829105,1,185
tear,16.174448880518618,4,186
10-month,16.13570509429065,1,187
bad.i,16.13522202329557,2,188
loss,16.13462529887699,23,189
playgrounds,16.096688832045217,1,190
willoughby,16.06198471567406,1,191
waterways,16.050044756594268,1,192
bleed,16.04501493551701,2,193
aisle,16.042267328098813,1,194
"1,800",16.01787221046347,1,195
picnic,15.992358807195904,1,196
bernardo,15.950722955749582,1,197
burns,15.937669544852485,5,198
isil,15.931547244204028,1,199
lost,15.927130929982505,66,200
lockets,15.925705583770272,2,201
eagle,15.869258145020849,1,202
andres,15.862994556051623,1,203
coach,15.834439055281328,1,204
victimized,15.82233799225475,2,205
lakes,15.788484181785817,4,206
mentor,15.756493630189373,1,207
trafficking,15.750241547377739,1,208
wound,15.732194931329646,1,209
traffickers,15.684333597026145,4,210
opiod,15.652972044400022,1,211
conveying,15.61853339802809,1,212
uprising,15.616688883037599,1,213
verna,15.592163353180824,1,214
heal,15.565137669781167,2,215
asylum,15.550953223652035,1,216
3.6,15.526955646073029,1,217
positiion,15.525515910768453,1,218
resign,15.524723780681546,1,219
estimate,15.493086427127404,1,220
miscommunication,15.470984768350396,1,221
architects,15.46451443866471,1,222
sticker,15.45694617743319,1,223
yellowing,15.436412766585294,1,224
orphanages,15.41278091024729,1,225
syria,15.335725849286161,23,226
flour,15.335472578678859,1,227
contraceptive,15.334454941541784,3,228
cleansing,15.33243646865901,2,229
richter,15.275531652526203,1,230
transportation,15.260553298961069,3,231
learnings,15.247208496895352,1,232
jv,15.235632983071886,1,233
aww,15.19373674433601,1,234
rough,15.170888263095827,3,235
pathology,15.162962205789432,1,236
grandi,15.149780013743245,1,237
penalties,15.108343363437752,1,238
breakup,15.104821089631356,1,239
vulnerable,15.102041968731053,5,240
extinctions,15.09248234482198,1,241
sympathy,15.08572904277373,18,242
paris,15.065668206557985,16,243
corrections,15.029531578817954,1,244
minneapolis,15.028059715561225,1,245
cholera,15.026879574001965,7,246
tickets,14.995090844142767,1,247
fewer,14.972318240299062,3,248
restored,14.952953191260582,4,249
razed,14.93623766418167,1,250
guidance,14.930161936701145,2,251
delicia,14.9281379859778,1,252
sicking,14.923396806841788,1,253
infant,14.911527260953717,1,254
cui,14.902843843232807,1,255
transparent,14.894013728977717,3,256
cocunut,14.885615655984124,3,257
brim,14.873300798027456,1,258
diagnose,14.865053337403426,1,259
sickness,14.863267133112318,2,260
"30,000",14.850464468327788,1,261
casualty,14.846744142704049,1,262
insensitive,14.82894469991786,1,263
grieving,14.819550331334343,3,264
plight,14.818132840961011,3,265
cake,14.80714806551856,1,266
rebuild,14.788302526585644,3,267
neighborhoods,14.780886419961346,4,268
illness,14.743438416418696,14,269
hormonal,14.729435841620576,1,270
roles,14.700836856990461,1,271
survey,14.7000216147578,5,272
brutalized,14.695092530096295,1,273
argentina,14.692811182469471,1,274
eagles,14.672294420667358,3,275
communicate,14.669770807263804,4,276
amira,14.652380080220889,1,277
tragedy,14.646020307191632,29,278
turmoil,14.645553989395351,3,279
"350,000",14.643769661601608,1,280
sheilds,14.637237495429117,1,281
sista,14.626023432283374,1,282
dashboard,14.611141519308275,1,283
sensationalism,14.600860797147467,1,284
organ,14.589377153672649,1,285
humbled,14.573174767900502,1,286
resignation,14.570526072148846,1,287
airlines,14.551429757888139,4,288
roll,14.549563168030483,3,289
"100,000",14.525660777408218,2,290
re,14.519224491496855,8,291
shelby,14.500541892706904,2,292
hurst,14.499571477950509,1,293
leprosy,14.492101653366417,5,294
86-year,14.483842205927045,1,295
adolph,14.47311791213737,1,296
sisters,14.441036570181174,7,297
coin,14.411320981956477,1,298
maia,14.35746463118666,1,299
ministry,14.329918936121436,1,300
shootings,14.324992321752417,14,301
warplanes,14.316439169932126,1,302
district,14.282679921026391,3,303
d.c,14.275170957231529,1,304
shores,14.253739480916698,1,305
filippo,14.240132884743234,1,306
copy,14.224739661264236,2,307
restitution,14.218316528868472,1,308
santiago,14.174017076601137,1,309
’ve,14.147013920029854,5,310
frankenfood,14.12666721872449,1,311
liberty,14.119999863585848,1,312
doherty,14.102482184673987,5,313
ads,14.073221262397235,6,314
card,14.064446026187353,4,315
burned,14.053195834325615,6,316
capture,14.03343390667739,1,317
"180,000",14.0329025727044,1,318
conflict,14.015150054284122,21,319
financially,13.988988292109264,3,320
planes,13.988831696100965,1,321
poach,13.937852766815782,1,322
1.4,13.934657387995705,1,323
manipulative,13.933067106616742,1,324
revenue,13.932010563511808,1,325
send,13.923242556596582,12,326
mediterranean,13.909477307245885,4,327
"200,000",13.897225343935517,2,328
mercy,13.874247003725484,1,329
mallika,13.853957016090847,2,330
immigrate,13.851520688226598,1,331
connections,13.84254788166885,1,332
penalty,13.839644387902524,4,333
flips,13.839168268373918,1,334
brink,13.837724020424034,2,335
unrest,13.832720805027362,7,336
bindi,13.83014736470459,2,337
