word,score,wordCount,SVM_Rank
anger,16.96818466814101,822,0
yobs,16.324122046268677,1,1
angrier,15.589070208866364,55,2
tempers,14.750997312542221,11,3
defuse,14.689665658134587,1,4
apologise,13.701606578513813,10,5
ampeg,13.435454842523054,1,6
angrily,13.38933736747061,2,7
grrrrrrr,13.188821608465654,18,8
temper,13.141199612160477,45,9
grrrrr,12.945359452754964,16,10
refund,12.852118331934097,3,11
fury,12.840236866815342,37,12
harrogate,12.64734099844064,1,13
rioters,12.564705606303951,1,14
rage,12.246492938347963,262,15
dinnae,12.190442550585917,1,16
frustration,12.006688548148155,156,17
venting,11.973433573251556,13,18
enraged,11.900323177971583,50,19
rudeness,11.754271021165227,1,20
angriest,11.729276867352613,19,21
angry,11.726055431549465,556,22
tasker,11.582991098876121,1,23
fuming,11.403670309205241,20,24
ckeditor,11.384842598098059,1,25
roadworks,11.366686069946866,1,26
grrr,11.322612529237945,11,27
aggravation,11.256657626548334,54,28
delays,11.023173883269433,12,29
inconsiderate,10.984459485228967,1,30
aggression,10.974775422186237,19,31
ffs,10.960148004452538,15,32
bitchiest,10.822762649274617,13,33
paterno,10.788282730915679,1,34
yelled,10.709076651207402,15,35
silencing,10.695833555843901,1,36
repress,10.647500549252028,1,37
stroppy,10.591393120574894,1,38
unecessary,10.551485187191101,1,39
infuriating,10.454904142653476,10,40
protestors,10.418936989059066,3,41
unacceptable,10.340490332870424,14,42
anoter,10.301744880549416,1,43
ooc,10.278758106883807,1,44
delete,10.263885416389655,9,45
sarc,10.246874385327498,1,46
blame,10.150679040376644,27,47
resentment,10.117199937995654,11,48
inablility,10.110162421795678,1,49
theirselves,10.076768797896154,1,50
aviva,9.995225642433478,1,51
ppls,9.977216715959791,1,52
outbursts,9.976519615278146,1,53
profanities,9.975416335858172,12,54
freeview,9.970556073256706,1,55
untick,9.938666181828253,1,56
fuckoff,9.923255949913633,13,57
retaliate,9.914113736916814,1,58
profanity,9.822322637610391,17,59
cancel,9.814570316486748,19,60
hurled,9.804663196308951,1,61
busquets,9.754314540734624,1,62
yoko,9.722023568622783,1,63
evry1,9.717472067762184,2,64
pronouns,9.717031214590081,17,65
fustrated,9.674232615090961,18,66
sodding,9.655031752448808,12,67
matchday,9.626428263532887,11,68
idont,9.579481958433476,1,69
kino,9.576133930236441,1,70
muting,9.470901286582535,1,71
disable,9.46800975561009,1,72
tardiness,9.443962865839847,1,73
punched,9.437746179545222,13,74
stonewall,9.432157421921081,1,75
toll,9.42607035415367,13,76
deleted,9.366632337938645,30,77
quiter,9.347281766367157,1,78
mick,9.337350612714015,1,79
themself,9.32702104242879,1,80
smilies,9.326665631601342,1,81
vent,9.323196966814503,3,82
seething,9.322855363366479,16,83
vettel,9.320085651564169,1,84
guitars,9.314746493283288,2,85
bitch,9.266665253079953,347,86
rioting,9.264511983586363,1,87
capcity,9.248458726629963,1,88
blamed,9.240028066989009,1,89
shutup,9.226943765296816,28,90
damnit,9.215745495029976,1,91
twats,9.210281083709498,16,92
infuriates,9.199628917209731,1,93
causee,9.192534098199339,1,94
katniss,9.180489305310282,1,95
ekko,9.152958764310586,1,96
slaphead,9.129923519920704,1,97
usless,9.103600505403637,1,98
whyy,9.090842831681217,1,99
condemn,9.081687652243708,2,100
pulsa,9.07870930497651,1,101
editor,9.070311884093082,2,102
furious,9.056510845502718,1,103
apologize,9.05148641922332,2,104
yelling,9.03284327980915,40,105
stoke,9.030389075032925,11,106
plz,9.025653949460807,6,107
provoked,9.020546234688723,13,108
fuckit,9.011941094295079,1,109
sow,9.003470765704886,9,110
annoyin,8.992881558126697,1,111
verbs,8.963392378943585,1,112
disrespectful,8.94635274779889,15,113
shouting,8.943328516072473,20,114
notting,8.93026408380394,2,115
winchesters,8.905534825655629,1,116
cockblocks,8.866018006677336,1,117
unforgiveness,8.854940432022712,1,118
bc2,8.843276557746107,1,119
delay,8.826143876058419,12,120
hostility,8.803910417304511,7,121
westham,8.77905039437574,1,122
hormonal,8.776603743421171,2,123
shakespeare,8.77349221901011,2,124
retard,8.767071391060751,1,125
woden,8.751512899328976,1,126
slag,8.747551656305767,4,127
kasab,8.747109592008568,1,128
shuttlecock,8.744834195856663,1,129
tyga,8.725437555427993,1,130
punching,8.723963063996532,78,131
goddamn,8.708523539953385,15,132
pfps,8.70797413890598,1,133
pleasee,8.696187460729888,1,134
heated,8.683353489046258,2,135
shuld,8.664175414023823,1,136
abusive,8.650934755779359,5,137
upp,8.649265801804587,7,138
unnecessarily,8.646399729719583,1,139
derry,8.633673259166585,1,140
stoppage,8.620244379833643,1,141
entitlements,8.619872317739677,1,142
hurtful,8.577065501381169,14,143
idgaf,8.56047943129439,35,144
