word,score,wordCount,SVM_Rank
shitless,19.44911701216133,6,0
scarier,19.141781420049934,12,1
scares,18.09316961786317,46,2
fear,17.979720478819118,1771,3
scare,17.703367934094363,55,4
fear-,17.427730349644854,6,5
fears,17.224037373972976,53,6
fearing,16.96392113084699,35,7
phobia,16.608642395273385,15,8
fearful,16.50783236271613,27,9
scariest,16.430767261927922,16,10
trepidation,16.287709203569925,2,11
phobias,15.875630412917923,6,12
terrify,15.854669536554786,14,13
scared,15.675549043226253,661,14
heights,15.668503282207546,22,15
scary,15.326123244688455,96,16
dangers,15.27590837926802,3,17
terrified,15.238477009032474,42,18
scaring,15.119585515602974,1,19
willies,15.088516638238117,1,20
extinction,14.969890052065166,2,21
spook,14.862131944926125,1,22
afraid,14.8608585960235,2099,23
feared,14.227296747569651,8,24
warns,14.172616922671777,6,25
risking,14.01459738050463,1,26
frightening,13.963128387554525,117,27
intimidating,13.592361546905382,10,28
repercussions,13.535442050441922,6,29
intimidated,13.418875110465986,1,30
terrifying,13.39106838814971,32,31
spiders,13.019862188175368,15,32
intimidate,12.939800149515762,8,33
aliens,12.932669604195386,1,34
danger,12.785291774783968,63,35
fatima,12.709275442137793,13,36
paranoia,12.695481929740803,1,37
threat,12.63953796175449,19,38
bioweapons,12.617227325795618,5,39
risk,12.477918364753284,41,40
fright,12.299611883557406,1,41
repercussion,11.995598765009804,14,42
warning,11.917525810819207,24,43
threats,11.797363025014363,10,44
abduct,11.7424440723474,5,45
preying,11.695914343842029,1,46
warned,11.666555492140098,3,47
hesitation,11.552730627651872,1,48
terror,11.498726542815692,88,49
snakes,11.478956773842834,23,50
phobophobia,11.360953465159428,6,51
fearless,11.338100963640658,51,52
petrified,11.264640965991571,22,53
executions,11.202920556618045,8,54
domino,11.071649879143889,1,55
misstep,11.022415897444935,1,56
lurks,10.973770474061507,12,57
paranoid,10.927806010736113,19,58
chainsaws,10.895198097065254,1,59
teeter,10.843403075789608,1,60
uncertainty,10.801482676640275,19,61
freaked,10.775432819134886,37,62
flee,10.76729213646369,6,63
dangerous,10.664536098002774,13,64
apocolypse,10.664197512497347,1,65
terrors,10.642234338545498,1,66
unknown,10.412975685203758,60,67
armageddon,10.368544514940185,1,68
haunts,10.255529306701524,6,69
trembled,10.183089499326195,4,70
coahuila,10.143618809972969,1,71
nightmares,10.13314440253601,9,72
apocalypse,10.098145566804574,16,73
wuthering,10.085739507485279,1,74
fled,10.053229989195346,1,75
bravest,10.005146552364563,9,76
births,9.94274233435908,1,77
zeds,9.922758326613982,1,78
unsafe,9.857113753395735,6,79
m18,9.838741432489677,1,80
repressive,9.836795368980722,11,81
instincts,9.833305127159901,8,82
alien,9.827671489900526,8,83
plummeting,9.816026008069793,1,84
deathly,9.768582417561257,10,85
imperitive,9.70460982181159,1,86
dire,9.700466512730307,1,87
apocalypto,9.689733856973787,6,88
survival,9.679642359222685,29,89
threatened,9.62508878753265,4,90
ufo,9.61297472026133,7,91
mossad,9.549794468431024,7,92
wuss,9.509665366403281,7,93
kidnap,9.49041558297022,1,94
tyranny,9.485098615021265,24,95
descending,9.462917946904263,10,96
threatening,9.355956303185552,1,97
dreaded,9.320859562751258,1,98
impending,9.299918477995117,1,99
cautious,9.249483842865022,13,100
taboos,9.179737348542252,1,101
boogy,9.175705581003019,7,102
conquer,9.167386153345854,29,103
hesitate,9.1546318827977,5,104
confidence,9.143629782607348,168,105
beware,9.141854920176046,1,106
consequences,9.124508367894492,12,107
mongering,9.124391587331893,10,108
hwy,9.088214837453554,6,109
vom,9.085051621767052,1,110
deadly,9.009761739638773,9,111
nun,8.984437112067534,1,112
overrules,8.98172774095742,6,113
aggression,8.948717022244832,11,114
dread,8.933519320992927,21,115
safety,8.930971890430271,15,116
jitters,8.906666564254868,5,117
insecurity,8.884231667642693,1,118
hesitant,8.837140589559448,8,119
slayed,8.792009894810818,1,120
boldness,8.761664918194525,24,121
preventing,8.733782184105909,1,122
repression,8.697700673181904,10,123
killin,8.694752265221867,9,124
illigal,8.690880328975576,8,125
startle,8.684712898071071,1,126
infiltration,8.651360667513577,38,127
underestimate,8.649965159088834,7,128
comitting,8.633874762640914,1,129
greys,8.620248336886737,1,130
deters,8.586432044809081,18,131
erth,8.549531485522548,5,132
secrets,8.463534210505275,3,133
legalities,8.445606049092689,1,134
mistrust,8.438992039097883,1,135
lettin,8.413286896306639,1,136
monsters,8.409262048932336,1,137
incase,8.375615902761773,6,138
