Word,Value,Freq,SVM_Rank
joy-,15.369360938394895,1,0
lemsip,12.223683138896526,3,1
carols,11.536080450832888,14,2
sunshiny,11.028077048944462,1,3
joys,10.85583889117234,9,4
sunshines,10.737089852308355,1,5
joyness,10.280752648182709,1,6
meridian,10.252389279916994,1,7
achey,10.220267072609353,1,8
yule,10.205117626409026,2,9
joy,10.142929955233111,388,10
gladness,10.138269982504474,5,11
sunbeams,10.059530239769753,2,12
jolly,9.943491224700725,5,13
fettling,9.911319165788754,2,14
unltd,9.858757195779416,1,15
excelsis,9.835765700864936,1,16
radiate,9.74480953494033,5,17
christmassy,9.62374652950136,4,18
hosanna,9.432884531462523,1,19
choristers,9.43166242600622,2,20
energies,9.332706266102889,1,21
mercies,9.250413994284413,7,22
joyous,9.215203243779492,15,23
joyful,9.14620555771353,23,24
teething,8.95310965415019,1,25
brighten,8.821907014037357,1,26
blessings,8.722400855140929,33,27
radiant,8.720388475569237,2,28
panto,8.636682091487229,2,29
gospel,8.611872413190307,12,30
quarterbacking,8.549402689067186,1,31
fellowship,8.472452346271933,2,32
thanksgivings,8.4674244141049,3,33
m25,8.462466849608663,4,34
thankfulness,8.458650111963632,3,35
caroling,8.441181487187976,5,36
merry,8.432306686377594,23,37
cheerful,8.406441241263616,2,38
uplifting,8.378136672650736,4,39
labours,8.330658491980689,1,40
evenings,8.322668217738029,1,41
contentment,8.267769912629891,4,42
divinity,8.219370603405368,1,43
snuggle,8.202106899358466,6,44
massage,8.16456327672244,7,45
richly,8.127833473932391,1,46
mornings,8.118279182473765,6,47
lighten,8.07187001648504,1,48
unalloyed,8.067192289622138,2,49
grapejuice,8.039019002653571,1,50
cheeks,7.994235037085513,2,51
hallelujah,7.993974401393359,2,52
gloriously,7.9827707690137935,1,53
lewisham,7.953714160483322,1,54
sunshine,7.914456823152822,16,55
happines,7.910972847284679,3,56
bless,7.9089193174616454,18,57
pedis,7.87336768960812,1,58
deaconess,7.871541617930578,2,59
microsystem,7.848268914785889,1,60
rom,7.824896442661792,4,61
15am,7.814991140220263,2,62
fibro,7.755096319952269,4,63
errands,7.730566370002579,5,64
housework,7.689249494438165,2,65
hymns,7.652504502959678,2,66
8am-8pm,7.630937176200234,4,67
jammie,7.620198076689263,1,68
immanuel,7.6137457834712166,8,69
prac,7.6104956806640605,1,70
xrays,7.593657671727302,1,71
holyspirit,7.584911794385652,1,72
commute,7.550081876138053,5,73
shining,7.390214787348109,6,74
dozing,7.368073360957409,3,75
cuddles,7.346824769828864,7,76
radiance,7.332321127052083,2,77
choir,7.321877148194437,10,78
philippians,7.318690320210521,1,79
duvet,7.310133158098896,1,80
pract,7.297168912969251,1,81
7.50am,7.294070550985438,1,82
chores,7.259921440737953,2,83
beatitudes,7.2566693093762495,1,84
blissful,7.247142018054912,1,85
reflectin,7.245018076684438,2,86
christmastime,7.2193843022017745,5,87
lifeskills,7.208896079854725,1,88
12days,7.206981788783306,1,89
bonding,7.179637953634916,1,90
blessed,7.1785436850520945,50,91
relaxation,7.1716572812401225,3,92
physiotherapy,7.166840946039777,3,93
beam,7.15684888135605,1,94
breakie,7.149117416050066,1,95
cafs,7.148611308994731,2,96
oneness,7.145455409246477,2,97
healing,7.132624996289332,3,98
uplift,7.122979221330848,1,99
4oo,7.120691063278322,1,100
mornin,7.114019782611832,3,101
glorious,7.071700538512687,4,102
appt,7.058578214065022,5,103
unhurried,7.050864590133976,1,104
goodness,7.048673444616771,16,105
merriment,7.027077456568874,1,106
knackered,7.003904096936285,1,107
larch,6.957343700480937,1,108
allday,6.952694794652562,2,109
happyness,6.948175869351044,2,110
extolling,6.947365422529769,1,111
pleasures,6.947279811719797,2,112
novocaine,6.9313897185035565,1,113
rebooked,6.921153408831991,1,114
soaking,6.901307696023888,1,115
barnes,6.899636054046635,1,116
uplifted,6.8978209943101785,1,117
grace,6.85997888835287,31,118
gratitude,6.84688946612685,29,119
hobnobs,6.798116256360259,2,120
infusion,6.775808783245654,1,121
exams,6.774566859015545,35,122
morn,6.761481855604686,9,123
lights-,6.7399134649335055,1,124
matin,6.726712604130267,2,125
resume,6.721315074648466,2,126
feasting,6.713448500542084,2,127
supper,6.708571273394059,4,128
tutor,6.697834697432874,1,129
jumper,6.677577472265374,2,130
chanukah,6.67745057160006,2,131
bright,6.663091220468415,25,132
blimmin,6.658089947664488,2,133
relax,6.657789443958761,38,134
absoulute,6.652449769214741,1,135
soak,6.65083361714143,15,136
acupuncture,6.636809568554584,1,137
carol,6.634932473848555,11,138
snuggled,6.630275260232207,6,139
forth,6.629298061468849,5,140
happiest,6.614919106904001,3,141
mucking,6.598449679045556,1,142
sipping,6.5935165679832775,3,143
strep,6.5841128177675525,2,144
carolers,6.581274044959671,3,145
rays,6.581191405401911,2,146
labour,6.575791783475199,2,147
bubblebath,6.569578414615502,1,148
precal,6.512935443552445,2,149
0800,6.506390945910826,1,150
romp,6.492416315879854,2,151
starry,6.489414978097624,2,152
candlelighting,6.487223819165115,3,153
believein,6.4823648037856945,1,154
meditating,6.464967652224871,1,155
bath,6.463374436206253,40,156
chiropractor,6.459444998036754,1,157
p.j,6.4490375726241735,1,158
3year,6.438912972406726,1,159
meditate,6.432704940660303,3,160
behappy,6.431061175679108,1,161
naps,6.4247807057542,5,162
btec,6.419847453002821,1,163
schoolwork,6.4158255268269135,1,164
uplifts,6.405239188275588,4,165
glory,6.401341884966877,12,166
sparkley,6.3917386623755545,1,167
reap,6.38718431729488,2,168
crimbo,6.383211567437483,1,169
rudolph,6.372663108261362,2,170
aglow,6.3659002196819445,1,171
freeview,6.363462484783179,2,172
a.m,6.356361666244392,1,173
jizz,6.350719133916697,1,174
grateful,6.339905351493615,31,175
positivity,6.336323363967079,2,176
brightened,6.327627125503533,1,177
sleigh,6.3268022095375605,5,178
invigorating,6.322219819132856,1,179
porridge,6.314698891954073,1,180
rejoicing,6.301215149725126,1,181
soulfully,6.295703081532234,2,182
heartaches,6.292617024361231,1,183
warmth,6.284088494990942,6,184
gide,6.281671070273205,3,185
relaxing,6.276871244436901,8,186
boogy,6.274326603444175,1,187
10.30am,6.273203404325959,1,188
shovelled,6.26156813956033,3,189
mirth,6.258919872233641,2,190
crowns,6.256011019606109,1,191
bliss,6.247779716597126,11,192
antiwrinkle,6.239788013401543,1,193
homework,6.237453733328029,169,194
footie,6.227212036900843,1,195
16hrs,6.225679835386057,1,196
happiness,6.218424112432416,156,197
lark,6.213080617277274,1,198
giver,6.209370997875326,2,199
lounge,6.199469739289517,4,200
bunged,6.194848644542704,1,201
fbc,6.19476835785829,1,202
napping,6.1935021569564395,2,203
thankful,6.192932719303386,67,204
comforter,6.185804820802784,2,205
pamper,6.1842170806827,2,206
10hrs,6.177006620067985,2,207
pains,6.1687394029757545,7,208
bouncing,6.154145151464771,3,209
sleepytime,6.132729734610359,1,210
funtimes,6.127435510914734,2,211
hectic,6.127041543057036,5,212
grading,6.108617822213336,3,213
glow,6.103366226815182,6,214
centred,6.100801347735837,2,215
94.9,6.1001006413857395,1,216
eternally,6.0970461446049296,4,217
goodtime,6.086257877708978,1,218
lycka,6.069235572181109,1,219
6.30am,6.066458175624342,2,220
holidays,6.064098295201797,37,221
eternity,6.059749908496436,2,222
wonderfully,6.056069424524263,1,223
2-page,6.035817912779034,1,224
5a.m,6.035713160803636,2,225
shinning,6.033611304027915,2,226
refreshed,6.015378584923186,1,227
cherub,6.005143191389466,1,228
moany,5.998733047779649,1,229
gracious,5.995395948290418,1,230
bedlam,5.989690013494575,1,231
week-,5.988529689126414,1,232
volunteering,5.985075353345603,6,233
piccadilly,5.981794195160867,1,234
wondrous,5.978521341714559,2,235
energy,5.9780936329140175,24,236
meditation,5.976474965419714,2,237
electron,5.963168803325226,4,238
pack-,5.949838238474422,1,239
unburden,5.944789994716627,1,240
appointments,5.94252883449256,3,241
waitrose,5.9388835422742385,2,242
snoozes,5.934303974904797,1,243
laughter,5.922718120716905,17,244
motherhood,5.9209539187233835,3,245
owa,5.916374901237862,1,246
wheezy,5.913440704071935,1,247
7.30am,5.9008519679575056,2,248
smile,5.897391125805115,142,249
harmonies,5.896231056710876,1,250
buoyancy,5.879669631571373,1,251
cantata,5.871282316563839,1,252
4yrs,5.867037625591728,1,253
christ,5.8635753658738015,38,254
chirpy,5.844348310296239,2,255
hotchocolate,5.837994228227355,1,256
tickling,5.834214229535341,2,257
yoga,5.829753963501552,11,258
cossie,5.825373030534817,1,259
syrup,5.814804963334202,3,260
heavenly,5.8127382599525195,10,261
spaciousness,5.805126467941918,1,262
pjs,5.80253646342749,8,263
smiles,5.801852368163798,26,264
sunny,5.793943021176162,10,265
sparkling,5.7886787272476194,1,266
chitterlings,5.785656024645901,1,267
mylo,5.785137215550964,2,268
goodmorning,5.780079216769413,8,269
spotless,5.779270701889525,2,270
happier,5.779036789189561,6,271
unwind,5.777235509622961,1,272
carvery,5.770619797513344,1,273
preaching,5.769073364075102,8,274
quil,5.756968546568121,1,275
6am-11pm,5.755418954278902,2,276
scriptures,5.749072900196269,1,277
carefree,5.731937554988207,1,278
helper,5.7299204059990885,3,279
ucas,5.729671617104937,2,280
golden,5.713647923589935,5,281
tiling,5.709882393014542,1,282
luverly,5.7083718580421,2,283
rededicated,5.701075242409244,1,284
maths,5.7004685252792235,18,285
therapeutically,5.692049966008425,2,286
sohappy,5.689592468011894,2,287
smiley,5.688446008741189,1,288
daybreak,5.678222517741306,1,289
generously,5.672399150264162,1,290
splendor,5.669031249588338,1,291
shoulders,5.665158958682518,1,292
tues,5.663456677789436,1,293
trattoria,5.659264780716308,3,294
euston,5.657701867333269,1,295
jubilant,5.652366614039138,1,296
1yo,5.640787949458927,1,297
greatful,5.637790659893193,1,298
xeroxing,5.636503499791749,2,299
chez,5.636283702072879,1,300
miracle,5.629206309534361,12,301
nusery,5.6235966475917545,2,302
endlessly,5.620404084328418,1,303
gargle,5.617820470545818,1,304
satsang,5.607060252835962,2,305
sweetly,5.605238247345786,3,306
infectious,5.600782096433271,4,307
nehemiah,5.589965241069521,4,308
sleeep,5.589522022267034,2,309
gurgling,5.584380973033481,1,310
babysitting,5.579908023508791,15,311
assist,5.5786682974629285,1,312
exalted,5.575459587160985,2,313
glistening,5.573346256249932,1,314
manger,5.572032659370368,1,315
lounges,5.571462255263029,1,316
bubbly,5.569367316564025,2,317
coo,5.565735807761609,3,318
calming,5.561466918142224,4,319
goo,5.558680281297097,4,320
tele,5.556332424520249,2,321
happily,5.5542657391353885,3,322
concentrate,5.551118429546193,4,323
angelic,5.546428265800488,1,324
praise,5.5446402682996325,15,325
playsuit,5.542512155033705,1,326
40mins,5.540921321129791,1,327
cst,5.537699926504654,6,328
semestre,5.536264355743217,1,329
a.m.,5.519039222850399,12,330
delightful,5.515443135151235,2,331
alegria,5.512282723019871,1,332
counsellor,5.506278477506333,1,333
springy,5.500961718585133,1,334
vue,5.500431038859619,1,335
flashcards,5.4992763613656175,2,336
restored,5.498086523412403,1,337
netball,5.4949817138155606,1,338
ochem,5.493131593868973,3,339
thank,5.4900345175315195,112,340
yoke,5.473153546234096,3,341
grin,5.472859336875008,5,342
smiling,5.464193950245855,23,343
rememberthat,5.455463838421405,1,344
cuppa,5.455220014556191,4,345
loads,5.45397135441319,12,346
tidings,5.4514068429588445,2,347
abounding,5.447179272173679,1,348
2hour,5.445164539620915,3,349
chistmas,5.437807790719852,2,350
festive,5.435027693467861,4,351
jammin,5.434570301959546,2,352
tuesdays,5.43238249469511,2,353
tooh,5.422235848142767,1,354
semester,5.413712911344513,47,355
congestion,5.4073053499221295,2,356
excellence,5.405618488481187,3,357
treck,5.40237422272993,1,358
georgian,5.402272681004247,1,359
yogas,5.402198877641839,1,360
gladly,5.393510168863564,4,361
infinity,5.39328159316632,1,362
consultant,5.383009385310464,2,363
spreading,5.378450010275192,2,364
moods,5.371904134708929,1,365
aching,5.365015300739779,1,366
promises-,5.359887457232089,1,367
trinity,5.359090176167625,2,368
crip,5.353821529733944,1,369
yippeee,5.352871518662985,1,370
leaping,5.351685372380801,1,371
weekdays,5.351001544028644,1,372
bond,5.340083132244588,1,373
arvo,5.333775260139738,2,374
cuddling,5.331033039300653,2,375
simples,5.32943509538926,2,376
cushion,5.325538819056803,1,377
talents,5.321848801256122,5,378
brighter,5.314148749342686,5,379
endless,5.3119275662670296,9,380
listenin,5.31115536309055,1,381
reaping,5.309746825324938,1,382
roadworks,5.305941905644817,4,383
cramming,5.305220406137869,3,384
spurt,5.2973647010213565,1,385
decorating,5.297214980142779,30,386
multicultural,5.293650496741506,1,387
sippin,5.290632653058072,1,388
cookery,5.274152915194109,2,389
yayyyy,5.271574118544365,1,390
worshiping,5.26543477216674,1,391
freely,5.261466080058926,5,392
sufjan,5.261385099567702,2,393
showered,5.256626257757824,5,394
chuffed,5.249449481753688,2,395
juggling,5.245329992905838,2,396
contagious,5.241847746484632,2,397
robe,5.241333882678891,1,398
sprained,5.241094995751666,2,399
joy!,5.238051186876263,1,400
blessing,5.233227232229622,20,401
pooh,5.230074129654569,2,402
sleeting,5.223775916477613,1,403
beck,5.2142713023812615,4,404
gingerbread,5.202817249201818,4,405
ics,5.1858155525912375,1,406
hmwk,5.1844082182831475,1,407
thanking,5.184031336416026,2,408
3ish,5.182166952670912,1,409
carole,5.1817332927394455,1,410
eternal,5.180422798386555,10,411
worthiness,5.175333970774221,1,412
mylife,5.1642949616485,6,413
divine,5.158896082714808,2,414
pye,5.153136639739711,1,415
journey,5.151523618814386,33,416
rosy,5.150788585957882,1,417
365,5.137105414821292,1,418
exam,5.135944354554638,90,419
insued,5.1357840600850615,1,420
shuck,5.124814587062147,2,421
holidayseason,5.122474894507354,2,422
mhy,5.121725582801212,1,423
wondrful,5.116409882537507,4,424
happpy,5.116301859125283,1,425
flapjack,5.1161579765935326,1,426
thelife,5.114665271133312,2,427
happi,5.114258453873848,1,428
tidying,5.11246102849944,1,429
waffle,5.106264755795763,2,430
breaktime,5.104968181467557,1,431
healer,5.09660353848834,2,432
preach,5.093593246094107,2,433
throbbing,5.092224552012494,2,434
mentoring,5.085399962737895,2,435
serotonin,5.083064511316296,2,436
ephesians,5.073608135834678,1,437
lotus,5.066836305375475,5,438
olly,5.064797433831013,1,439
benefits,5.058728976976305,6,440
warm,5.058402800478755,41,441
danforth,5.057603649003701,1,442
resto,5.05100068619514,1,443
summery,5.049592304154827,1,444
westbound,5.0479596401301805,1,445
journeys,5.045227605133769,1,446
preciate,5.044952490820501,1,447
workig,5.037178089865137,2,448
relaxed,5.035729189212459,5,449
hearty,5.03322104220347,4,450
trot,5.028282034231177,4,451
ministry,5.02731225497284,7,452
dulwich,5.024242865030204,1,453
jazzy,5.0184808494050985,2,454
shit-,5.015609126520237,2,455
queues,5.013021108374932,2,456
sparkles,5.010305902693368,3,457
nanny,5.010073317437444,1,458
centres,5.007398783130573,1,459
flowing,5.007309795198864,3,460
glowing,5.004994122515477,2,461
rockefeller,5.002195832937572,2,462
multiplex,5.000918127111438,1,463
singing,4.999061427257767,68,464
oranges,4.995616361953231,1,465
shines,4.989449898035061,3,466
oxford,4.9827406204814,4,467
grump,4.980432250619824,1,468
sweatpant,4.976496116794392,1,469
cranberry,4.9763062071507305,3,470
bundle,4.97545375451354,3,471
hour,4.972324669397146,227,472
ease,4.971759051612782,1,473
ambling,4.963882237151022,1,474
sundry,4.952668677491218,1,475
harmony,4.950938487477009,6,476
burst,4.950008701801601,10,477
6-point,4.9478345557277645,1,478
fleece,4.947324458956257,1,479
lively,4.943563432184253,2,480
dining,4.932043012835381,4,481
gp,4.931905411508362,1,482
magnificat,4.9291438215260825,2,483
saxon,4.925492367783285,1,484
teaching,4.925093506786581,14,485
vespers,4.921798851949243,1,486
petit,4.916779812237821,1,487
splendid,4.914914030405548,1,488
radiated,4.907977131841654,1,489
pj,4.907895886400354,5,490
o2,4.901243692645943,1,491
plait,4.899951347368263,1,492
timetable,4.894711638338006,1,493
virtues,4.893313187993027,1,494
freshly,4.890967534580714,1,495
jasper,4.882717083383522,1,496
aprons,4.882532427005921,3,497
exhausted,4.881219090108753,18,498
jah,4.87989789922479,1,499
infinite,4.878223006851895,1,500
booster,4.878153537272284,1,501
worship,4.874774030816786,13,502
tangy,4.8737065455163355,3,503
amen,4.8735377266716675,18,504
snorting,4.868988301904424,1,505
xox,4.863608005121732,1,506
cream,4.861935710511303,40,507
savor,4.858024241125799,1,508
happieness,4.853367134503017,1,509
cornet,4.8506006140245965,2,510
hippopotamus,4.850308360594274,2,511
sleet,4.8499165124587496,1,512
parenting,4.846850863095083,2,513
happydays,4.844494216265874,1,514
tub,4.844484336731056,9,515
ap,4.837383289936207,12,516
teaming,4.830283565066973,1,517
microeconomics,4.828362079839496,2,518
hauling,4.8268789264300995,3,519
sodding,4.824015640159032,2,520
sermon,4.82141622540648,4,521
baking,4.821266162331868,14,522
load,4.8195151689964515,13,523
spiritual,4.814384427233865,4,524
widen,4.811950925858292,1,525
stick-,4.811922556738042,1,526
ard,4.811625676880169,1,527
restore,4.810699427363408,5,528
positively,4.8081220126175435,2,529
kindness,4.804037713147505,13,530
healed,4.801339988403545,3,531
360deg,4.799464865483997,2,532
cram,4.798622793291269,1,533
tenner,4.798234411805053,1,534
tonsillitis,4.791250023507285,4,535
rickey,4.790814207681327,1,536
giggling,4.769837150310008,3,537
hypnotherapy,4.768392590835077,1,538
eph,4.766084568698569,1,539
clam,4.75986965245132,1,540
stroppy,4.753877539462125,1,541
pudding,4.753771530829057,7,542
pset,4.752344637538315,1,543
holly,4.751848852653199,4,544
pomelo,4.745494449197035,1,545
untangling,4.742919687403446,1,546
connecting,4.740879313942191,4,547
equinox,4.740486053533483,1,548
sore,4.732305647560985,22,549
tzu,4.724710066893697,14,550
phew,4.7223756003539705,3,551
sinus,4.716212260791947,11,552
cuisine,4.711021868795636,3,553
perfecting,4.704241256184313,1,554
overflows,4.700730365103261,3,555
melodies,4.697889153912016,1,556
eber,4.697597869198232,1,557
freeeezing,4.697490229150905,2,558
eargasm,4.695823559462584,2,559
boud,4.691575459299066,3,560
3hrs,4.691104799569636,1,561
heaping,4.688913182268729,1,562
cet,4.6878364539136985,1,563
helping,4.68723086613326,22,564
laff,4.686954102927278,1,565
zestfully,4.684011553921377,1,566
630am,4.683342707989562,1,567
centre,4.6832488105235806,5,568
incarnation,4.679799946705173,1,569
greatday,4.676558855070797,1,570
relativity,4.675792985694319,1,571
wherever,4.674570870842552,4,572
mocha,4.6740026180142005,9,573
2hrs,4.6703744813250685,3,574
holiday,4.667003459491319,80,575
freeing,4.662715505182689,1,576
day-,4.660969094070653,1,577
appointed,4.656164234560142,3,578
pleasure,4.655774597665657,10,579
sofa,4.654653064070422,5,580
wrapping,4.650330259051982,25,581
loadsa,4.648949423538114,1,582
denist,4.6488843949522325,1,583
clapham,4.648659684015077,1,584
lap,4.645091484866983,9,585
webwork,4.644159549347491,1,586
illustrate,4.643054452122189,1,587
weaving,4.6423609449533565,1,588
leccy,4.642348112348419,1,589
laundry,4.640533202170069,23,590
mono,4.639020389472077,7,591
iced,4.638793572746031,3,592
stretch,4.632031971203511,3,593
plumber,4.63115581744329,2,594
ironing,4.630246571275185,3,595
nap,4.630129790670049,54,596
4all,4.626244673605028,1,597
spirt,4.6245454874351735,3,598
marvelous,4.622224928510434,1,599
weave,4.6219706942494065,4,600
lsat,4.620647652354042,1,601
settle,4.620033197682046,8,602
commence,4.619567403069375,5,603
enjoying,4.614792122032311,24,604
ski,4.6145626084420925,2,605
2.30am,4.61263875069451,2,606
morning,4.611718770800189,472,607
sun,4.611057122976509,31,608
clarendon,4.608309459803699,1,609
cosy,4.607888617823951,2,610
thanksgiving,4.605546852099181,190,611
sneezing,4.59948720451289,6,612
bestows,4.594757186557665,1,613
nght,4.593748362673777,1,614
corinthians,4.589767336772487,1,615
clad,4.5891532616118,1,616
spread,4.587946046460822,28,617
bedtime,4.587708337809301,12,618
rime,4.585465203018506,1,619
weekends,4.585319544356907,4,620
dissertation,4.5845500010428815,6,621
mayhem,4.582208587596128,1,622
maximus,4.580326900701533,1,623
flows,4.579934320277201,2,624
calm,4.574528757989272,19,625
hibernate,4.573972338235703,1,626
blankets,4.573606235864579,5,627
wiggle,4.573045173276449,1,628
et,4.570636700863093,4,629
northbound,4.5668157717638955,4,630
outlook,4.565977162542158,2,631
30mins,4.565887545678947,1,632
savoring,4.565545152687741,1,633
ray,4.565417810067219,7,634
nonstop,4.565255075448355,1,635
snot,4.563681877641056,3,636
comedown,4.561962470271082,1,637
vouchers,4.558470331736368,1,638
strapping,4.557959635725937,1,639
24hour,4.555425002889974,1,640
wintery,4.553320337288143,1,641
giggles,4.551384017819718,1,642
busiest,4.549386669969354,4,643
slough,4.537716408159744,1,644
assignments,4.537499930051845,10,645
arni,4.53615621509497,1,646
laughing,4.534752714752406,32,647
comfy,4.527356180830764,5,648
horsey,4.521615074216538,1,649
scope,4.520418575743726,1,650
payslips,4.518526237652421,3,651
tosh,4.518256445828229,1,652
afternoon,4.508639723496213,70,653
ballet,4.504957231449739,1,654
sup,4.504938937398221,2,655
throu,4.502259145297588,1,656
soulful,4.499401353258635,2,657
phlegm,4.498816431052687,1,658
spiritually,4.4976278241001495,2,659
aqua,4.49367592587979,1,660
connect,4.48466557568188,15,661
ecstatic,4.484226707834142,3,662
itv,4.482883268471925,1,663
everlast,4.476635952534328,1,664
sledge,4.476625044886715,2,665
wholeheartedly,4.466662519293645,1,666
cathedral,4.466227405387195,1,667
productive,4.465638531745292,20,668
gravy,4.465618604505694,22,669
silliness,4.464859474644215,1,670
nativity,4.4644108497862405,4,671
girlies,4.463779497604372,1,672
savin,4.460822027813127,1,673
mistle,4.459769898750563,1,674
quizzes,4.459467740929221,1,675
chore,4.456143210920378,1,676
9month,4.451835371787785,1,677
megabus,4.451355179784143,1,678
studying,4.445221390799734,96,679
majesty,4.444800895353952,1,680
giddy,4.436628266354443,2,681
heal,4.4340218881153755,4,682
whoop,4.430681367137677,8,683
heavens,4.430373809907956,2,684
centering,4.425433129832006,1,685
chichester,4.414340526831656,1,686
4o,4.413815742403151,1,687
buses,4.411427564306101,5,688
storytimes,4.407839073550542,1,689
semitic,4.406642258253432,1,690
stables,4.405747981342023,1,691
reconnect,4.404243407343599,1,692
patiently,4.401644999680887,1,693
congested,4.4008893899002075,1,694
stint,4.389096018506322,4,695
sickie,4.37981727642065,1,696
fullness,4.377758096848776,1,697
freeeeezing,4.375949348595399,1,698
god-,4.375269970450035,2,699
barners,4.3737444147058575,1,700
onwards,4.369779047698208,1,701
smoothly,4.367758366632232,1,702
supreme,4.367662460852642,4,703
unto,4.367335744715651,11,704
6am-9pm,4.365832663984277,1,705
wonders,4.359544543220441,7,706
fluffy,4.357794302376447,1,707
sainsburys,4.354085154664126,2,708
pints,4.349696033647885,1,709
suns,4.342949395230167,1,710
weekday,4.342867460081288,1,711
sessions,4.339978042779991,2,712
ihg,4.335083023719724,1,713
squeeze,4.334638445367842,2,714
walkin,4.333132407109458,2,715
pooped,4.32979808859409,1,716
spreads,4.32696788250976,1,717
bino,4.326569437018393,1,718
serenity,4.324750559220395,2,719
tesco,4.324488220938862,5,720
peppermint,4.323490664452601,10,721
tethering,4.321804136352062,1,722
sorbet,4.321491574223323,2,723
modem,4.321126027789045,4,724
feast,4.3147606253915045,5,725
buckinghamshire,4.313204004568249,1,726
boarding,4.309845063519683,1,727
2year,4.309591583424478,1,728
coursework,4.309392961127228,14,729
scripture,4.306767147530795,11,730
spirit,4.305349336963309,71,731
puddles,4.303817681589102,5,732
pent,4.299715064859958,2,733
orthodontist,4.298663552842227,5,734
15mins,4.298603903085556,1,735
nuzzle,4.29728524051526,1,736
endurance,4.295388367357908,1,737
gogo,4.29250447331873,1,738
meals,4.289456326073935,5,739
clarity,4.2881828473171435,1,740
noon,4.28809792507457,11,741
godson,4.280439137171895,1,742
pajama,4.278766651582164,3,743
prov,4.27755229481337,2,744
flow,4.277413026151195,15,745
weeek,4.277184820761397,2,746
reggae,4.27559529756633,1,747
newsboys,4.275074223357256,1,748
unpack,4.274949104513352,1,749
chap,4.2739004829921985,2,750
