word,score,wordCount,SVM_Rank
heartbroken,12.721931002564672,9,0
ffxi,11.393475323790934,1,1
friendzoned,11.178300447540565,7,2
sadder,11.035456623131621,4,3
u.u,10.749151121261974,9,4
lonely,10.639737022063443,44,5
swtor,10.591633500480429,1,6
homesick,10.55662861883601,11,7
lonelyness,10.556468647858594,1,8
unloved,10.455881663464012,1,9
sadly,10.28375097525213,31,10
forlorn,10.226199927354582,2,11
bummed,10.211165653590843,10,12
mourning,10.144769272267958,7,13
unfollowed,10.136099774668992,8,14
unplayed,10.030407383360705,1,15
wahhhhh,10.023511131212157,3,16
misss,10.014708373751583,5,17
missing,9.954107224964627,190,18
discontinued,9.948608178926573,4,19
whyyyyy,9.87027110101413,5,20
saguaros,9.866110424085079,1,21
sad,9.855568018047068,446,22
moping,9.761921267356295,7,23
wahhhh,9.648493277118652,3,24
lamenting,9.537326397768583,1,25
hiatus,9.448808757520666,4,26
waaaa,9.42511990277799,7,27
hershel,9.362654866134521,2,28
mourn,9.358835241713576,6,29
grieving,9.322482813222521,1,30
brokenheart,9.222712391758682,4,31
miss,9.14567439641563,671,32
abandoned,9.081866699692753,5,33
ginter,9.02616224731938,4,34
goodbyes,8.928110451404168,6,35
misses,8.819839083209926,8,36
unfollow,8.79799088441216,12,37
saddest,8.761159612488264,7,38
unrepairable,8.726898500599695,5,39
waaaaaah,8.71401657054456,4,40
rp,8.636748475499026,2,41
keita,8.61997262381049,1,42
lonesome,8.615828045492208,6,43
depressed,8.54719694867257,63,44
grieve,8.521938004895297,4,45
missed,8.505459259223933,207,46
emo,8.432526700639722,4,47
breakup,8.368766927451878,4,48
goodbye,8.3392391526228,46,49
avs,8.325739294642968,1,50
void,8.29951827447001,11,51
foreveralone,8.295694179131775,12,52
breakups,8.270952711689223,1,53
miserably,8.21551624942459,1,54
docomo,8.182787017869234,4,55
moes,8.172746528955875,1,56
sorely,8.11396387320919,5,57
ccd,8.092347009742562,1,58
disappeared,8.042291546044162,9,59
disposable,8.001590790521904,1,60
withdrawals,7.994771278658607,5,61
beckett,7.977600570061712,6,62
anymore,7.96481506390333,150,63
dryspell,7.926222190287282,4,64
rewatch,7.894980950047215,1,65
michigan,7.894864301312799,9,66
sob,7.885508991368015,1,67
sorrowful,7.837744220473345,3,68
r.i.p,7.820176551337271,7,69
devastated,7.802841785796016,2,70
revive,7.773233522854438,5,71
terribly,7.745811586874904,1,72
loneliness,7.703602145143581,12,73
fanfictions,7.701371761492032,5,74
reunion,7.689817467025668,10,75
midseason,7.674944812375317,3,76
sims,7.6462556429427,1,77
vonnegut,7.61338181780666,2,78
expired,7.579160916570601,6,79
bittersweet,7.564610979859969,1,80
instagram,7.548648862448044,1,81
faded,7.545507163150912,10,82
mfs,7.544092781225917,1,83
vanished,7.539685220181573,4,84
whyyyy,7.530885583566706,1,85
bummer,7.526207758197883,13,86
huhuhu,7.51794760429666,9,87
mournful,7.505208890721351,1,88
desert,7.450144168317999,4,89
hellooooo,7.420749683872376,1,90
copycat,7.311382878566295,2,91
androids,7.310292705464219,1,92
40k,7.300694959228839,4,93
japans,7.282432361010699,1,94
mccoy,7.268980717805313,1,95
desolate,7.26481034274766,2,96
forsaken,7.257649444937012,1,97
tfb,7.255865475055389,1,98
bereaved,7.232557148735776,2,99
broken,7.193742767677524,98,100
movember,7.183240341164897,1,101
tragic,7.181689459984932,7,102
deleted,7.1740195961816315,27,103
shriveled,7.154419056211424,4,104
doomed,7.128018373040762,1,105
drifting,7.119757874296063,12,106
angsty,7.103972186906171,3,107
sim,7.10384406146116,6,108
longing,7.094941380551985,5,109
dies,7.000085759818722,54,110
farewell,6.99687283084026,10,111
absent,6.974497668551862,4,112
jolla,6.9495840340878505,1,113
himym,6.93583600561413,1,114
nowplaying,6.91370350162607,2,115
alas,6.913253470143692,12,116
lost,6.898508065359501,230,117
90210,6.886207940960604,2,118
pittsburgh,6.860248895541625,2,119
deactivated,6.814735860053675,1,120
khoya,6.798592847839631,2,121
stolen,6.7892282019358685,5,122
poachers,6.782610585674144,3,123
nostalgia,6.781979824282963,7,124
lmk,6.776413852434754,1,125
absence,6.750639544775007,10,126
rg3,6.73184110474522,1,127
lovato,6.73180082720606,2,128
san,6.7308326364584214,18,129
doro,6.6506454583228845,1,130
unfortunately,6.6470999210925505,45,131
plot,6.628665262106368,2,132
auto,6.622135760909227,5,133
badly,6.621353686223907,18,134
mia,6.621277627591072,3,135
spam,6.615817712877224,20,136
oreos,6.61134974901535,1,137
blacksheep,6.592890813444836,1,138
fma,6.562551574133703,6,139
reunite,6.543525948685067,1,140
tears,6.526627188929501,118,141
drought,6.516385169533859,1,142
reenactor,6.514884003627644,1,143
rin,6.5097619638233795,1,144
