Word,Value,Freq
loneliness,-13.911643026112552,1
unltd,-13.000548523844092,1
oneness,-12.408026244891573,1
civilisation,-12.370786784942508,1
humanity,-12.368803230340925,1
tribulation,-12.169486138658398,1
phoneless,-11.638261468497339,1
civilization,-11.550170585008688,1
sorrow,-11.44156987234289,4
unworthiness,-10.76248133414005,1
suffering,-10.421401011650127,1
fellowship,-10.258581609576817,1
depressed,-10.215384577383432,6
fettling,-10.1366776171674,1
sin,-9.996032368925292,1
condemned,-9.897866393865685,1
pains,-9.892330759782784,1
gospel,-9.599373980078502,2
eternally,-9.587780376681668,1
sore,-9.381713879323526,3
dunghill,-9.31989191367873,1
eternity,-9.264580610889379,1
kampala,-9.254555711166823,1
humiliated,-9.212003611217755,1
compassion,-9.158328814372906,1
thumpy,-9.150006500519906,1
kaduna,-9.145088449323856,1
serenity,-9.07926300365238,1
napalm,-9.06593545763162,1
treadmill,-9.049343776782013,3
bbc,-9.046424983176438,1
condemn,-8.924459098886437,1
unrepairable,-8.879193386530277,1
polio,-8.874664984061686,1
pain,-8.831545719353665,13
fears,-8.807856294525852,3
axioms,-8.773768918877355,1
preaching,-8.753928482886456,1
lonely,-8.74793424755908,3
regrets,-8.73430867146019,1
divinity,-8.714026135795331,1
pandemic,-8.702606929496417,1
crucify,-8.691792058383912,1
yoke,-8.645044975914601,1
burning,-8.626346594856978,2
sadness,-8.596976922211386,4
pulp,-8.57206122756822,1
creed,-8.547246238632452,1
sickness,-8.533851558964143,3
heartache,-8.530335493650464,1
semitic,-8.50771556528267,1
carols,-8.503858924760978,1
salvation,-8.495743631697666,2
psychosocial,-8.400023256152496,1
fear,-8.314216071699153,52
joys,-8.313415249181043,1
sinners,-8.31009426264535,1
sorely,-8.280843776864105,1
nauseated,-8.2564321967165,1
hobbes,-8.210965789821282,1
belittled,-8.200396014861818,1
religion,-8.190758181353264,3
burnt,-8.108626745848293,1
communion,-8.085648187744964,2
feelins,-8.07755669669921,1
burden,-8.052238799693592,1
ethics,-7.97531350860984,2
forgiveness,-7.953839662618716,1
happiness,-7.9364761619210515,22
repress,-7.88443383642783,1
sleepless,-7.8772385400579115,1
unable,-7.862701966778642,1
ceremonials,-7.8584504679185,1
melancholic,-7.837290481935794,1
joy,-7.802411528899887,34
wounds,-7.798687286005745,1
vibration,-7.773589443838304,5
ambition,-7.769490886902739,1
stressed,-7.765118008931035,2
deaf,-7.760202292178894,1
pset,-7.731585043980433,1
huo,-7.730895776029724,1
heal,-7.725911440219198,2
worship,-7.691407439256556,2
racing,-7.639014340482145,1
hurts,-7.635208977761907,5
cheeks,-7.630590857498435,1
cancel,-7.619965858947886,4
precepts,-7.6193948120263375,1
injuring,-7.609440162578897,1
burns,-7.597927821467733,1
morality,-7.579976624534334,1
grieving,-7.573749156982727,1
warmth,-7.566519260940167,2
shame,-7.5615388547253435,11
peace,-7.535372029232212,13
infinity,-7.530047903669487,1
innocence,-7.525169868509357,1
selfish,-7.519646141158786,1
starvin,-7.499283284639533,1
regret,-7.461397098694592,4
intolerant,-7.451743657253491,1
grief,-7.432793103799833,3
hangovers,-7.426521214763078,1
resign,-7.400135128258514,1
optimism,-7.392940579994081,1
grieve,-7.386828995996769,1
loathing,-7.318825676489771,2
conquer,-7.314058773512697,1
hopeless,-7.310143356131098,2
trembled,-7.256180833771419,1
giza,-7.204366506323042,1
sundays,-7.184110207261638,1
sledge,-7.164400508481378,1
sick,-7.156940993255448,25
cannibalism,-7.15122230547928,1
exhausted,-7.146449762957088,5
hark,-7.115339166658334,1
csr,-7.047163976279972,1
reschedule,-7.033635872384632,1
nostalgia,-7.003980301023675,1
sacked,-7.003172916001432,1
plank,-7.0022761083304195,1
p10,-6.992585227176267,1
nights,-6.975811183170727,6
puking,-6.974844287882901,1
teeter,-6.9743955339161285,1
burn,-6.966961375412108,3
contentment,-6.96375593203255,1
scriptures,-6.954330724376619,1
mourn,-6.94407947599828,1
asia,-6.942854491463187,1
brrrrrrr,-6.907610050678024,1
youth,-6.906878463470403,2
stress,-6.902344376661906,2
bsnl,-6.89554632564353,1
sunbeams,-6.8860803689285826,1
