,Word,Value,Freq
10126,uninviting,-57.5443260589502,6
8076,undrinkable,-57.07459417941973,5
22806,unedible,-56.92749588522967,4
21078,tastless,-56.57257451226413,4
11744,unwelcoming,-54.921302327100825,13
25106,discusting,-52.602693653500495,6
3536,undercooked,-51.951586813109635,105
2277,tasteless,-51.7801688653955,185
5249,unsanitary,-51.35408854894287,21
3637,unappetizing,-49.813034104784215,24
32896,unwatchable,-49.61704817862141,1
1794,unprofessional,-49.46051730591855,272
1127,inedible,-48.876851206128364,91
32847,unattentive,-48.52240511897411,1
43173,unuseable,-48.335899910845164,1
38215,unhygienic,-47.978951038323466,2
4838,flavorless,-47.96575752146871,101
24474,direspectful,-47.686919322579264,1
13896,unexceptable,-47.23165050861591,1
14005,curdled,-47.127691298783056,3
15746,uneatable,-46.883731299280214,6
12630,degraded,-46.63539493129476,5
12775,unprofessionalism,-46.420282861651366,10
6079,underseasoned,-46.039910452829425,5
10155,substandard,-45.81316316680257,17
30112,unhygenic,-45.58496133895624,1
1871,overcooked,-45.46424204220026,190
30945,disgusting-,-45.11564357133057,1
30048,discrace,-44.76604471652694,1
16184,unusable,-44.54091891374741,4
21390,wilty,-44.32643438566236,1
18850,cardboardy,-44.32525181649438,1
22356,rude-,-44.09731420009607,2
6360,lifeless,-44.071827749456276,7
27471,mildewed,-43.935634423129535,2
28312,oversalted,-43.81789751602902,2
5520,tacky,-43.693948752827076,37
44655,unfresh,-43.585835764212526,1
14091,degrading,-43.451168249696074,6
7062,flavourless,-43.388733563801416,15
8730,digusting,-43.35660805594035,2
4272,unacceptable,-43.23960786021688,123
2027,disgusting,-43.168706051255036,301
8535,unkept,-43.087329944547754,3
29099,unacceptably,-42.94637168447626,3
15201,undertrained,-42.6185661885383,2
25464,undeliverable,-42.46534113951295,1
4473,disrespectful,-42.09645323552299,67
33397,discusted,-41.87220118615574,1
17969,unflavorful,-41.84066577725737,2
33553,pitifully,-41.651505241163015,1
2879,insulting,-41.587712044656584,22
22479,inacceptable,-41.57339306265274,1
12417,apologizes,-41.463162237675185,14
3952,uninspiring,-41.43460416005761,5
28256,wasteful,-41.31448620839149,7
4502,unimaginative,-41.21475971594858,3
1544,abysmally,-41.073599934308525,1
10789,uninspired,-41.02854883378858,15
14533,disjointed,-41.013530575418805,6
6025,uncaring,-40.703252391183106,15
8599,inexcusable,-40.49048224658625,14
2409,moldy,-40.47748157778335,15
5703,disgusted,-40.374880530861205,77
2312,ripoff,-40.35129061693634,27
14294,ineffective,-40.27427515549486,4
6172,shoddy,-40.05811812482245,9
25247,mediocore,-40.04444449993889,1
19572,insultingly,-40.00588739882334,2
12391,discourteous,-39.90971209899038,1
1523,pathetic,-39.60149874765555,72
15309,recooked,-39.59365562012241,3
27434,uncleaned,-39.5913093896745,3
16639,terrible-,-39.560237399553465,2
19970,waisting,-39.49969387761963,1
26901,nonfunctional,-39.37150161645253,1
18131,undelivered,-39.35200666032313,1
26083,awfull,-39.27973454636595,1
14090,degrade,-39.23928252021545,1
41219,insipid,-39.05128705312645,1
3518,overspiced,-38.994636083155676,1
344,bland,-38.99255156455861,563
26798,1star,-38.94356605967041,3
41956,unauthentic,-38.72978323966131,1
22186,unfit,-38.72143108807882,1
18706,chincy,-38.61456681630572,1
33311,flotsom,-38.60877139873914,1
32704,flithy,-38.52079702192251,1
724,insensitive,-38.50007114049125,6
11254,disrespected,-38.43917329294522,19
38012,homogenize,-38.4181741467406,1
29659,uncourteous,-38.38190825303965,2
33223,pathetically,-38.32949388507254,2
5551,desecrated,-38.22206741317226,1
22779,dissappointing,-37.96564583685507,2
7307,mutilated,-37.77663817765549,2
24675,unneccesarily,-37.77558886607287,1
17552,aweful,-37.767591026263595,16
17825,clumpy,-37.70837419258139,5
10040,berated,-37.677934128992064,3
10055,unaccommodating,-37.62062582302419,4
1440,rude,-37.56908298479956,1213
22235,uninteresting,-37.53994227791101,4
2504,subpar,-37.502620335867775,74
30771,unfunny,-37.42782371888116,1
7447,demeaning,-37.388279823370056,4
4721,pitiful,-37.354573312673715,14
24313,uninventive,-37.27817007481112,1
798,barren,-37.207901898761456,1
3982,grainy,-37.194961800874864,12
