,Word,Value,Freq
0,stopped,-0.05978888356819605,242
1,of,-0.026816068857079326,10958
2,working,-0.04313217904705933,488
3,months,0.00880306736566109,922
4,a,0.06342982912631673,13502
5,within,-0.054859917263830806,403
6,couple,-0.02422493057171643,582
7,think,-0.010894801139848951,2004
8,to,-0.011104866763955216,13546
9,even,-0.08856895524174785,3079
10,did,-0.14921880975490995,3031
11,are,0.03270633195370724,7424
12,before,-0.06713764905249864,1214
13,doll,0.05349718187984887,824
14,but,-0.12429245050988137,8653
15,in,-0.04185481416798314,8830
16,would,-0.14123142981360506,5285
17,measurements,-0.0018771629159055256,12
18,cute,0.07033275864809321,1425
19,too,-0.035211846885602284,2867
20,thought,-0.0839201627040112,1432
21,'s,0.028123426402714032,6314
22,features,0.021711110956896637,258
23,it,-0.07069779225143598,13693
24,n't,-0.22237680154091077,7606
25,details,0.034196575260824674,143
26,seeing,0.004071333831729862,198
27,person,-0.008615530612857556,282
28,little,0.11167121850593646,3747
29,be,-0.060083711676825136,5843
30,",",-0.04865490342758687,12762
31,realize,-0.02754802832587202,165
32,ordered,0.0017436910779706966,436
33,huge,-0.00179966762885385,541
34,for,0.13847731845569974,12049
35,how,0.02081242915826992,2078
36,lack,-0.023768393758162823,152
37,definition,-0.007580116350847271,7
38,disney,-0.020244243578224557,213
39,big,0.02726770094594628,1313
40,.,-0.0002280687258515315,16922
41,just,-0.07096761835895228,5006
42,undefined,-0.007523902848081232,1
43,i,-0.10575589394165831,12457
44,the,-0.11694196662339705,15486
45,such,0.011244499968532178,742
46,"""",-0.03797656946920007,3149
47,recommend,0.040086389975451234,1721
48,our,0.08220381437321127,2295
49,and,0.15699087381630542,14909
50,is,0.06168015077035627,11840
51,what,-0.05031010155755347,2709
52,this,0.05762558628673328,13360
53,got,-0.0003781044868499797,2790
54,not,-0.28448451633931965,7888
55,work,-0.11846185110252874,1741
56,who,0.06041776341044419,1821
57,board,0.005861561404927062,607
58,unengaging,-0.007523902848081231,1
59,very,-0.006990947269224936,5176
60,balance,0.0050880775954013436,127
61,we,-0.0016106379295989653,5224
62,have,-0.003008478886620655,7155
63,games,0.04124744358766509,929
64,wanted,-0.010516602061323259,841
65,movement,-0.00325354532503583,94
66,on,-0.06084448439570962,7553
67,needs,-0.004288606206048835,363
68,son,0.04080968898191552,2800
69,delayed,0.004521706957381932,5
70,extras,0.01955563394541938,46
71,-,0.01720896890500617,4676
72,three,0.01942458690884327,874
73,out,-0.0735758110000209,4432
74,wheels,-0.01845135075637439,374
75,floors,-1.2656940250993443e-05,86
76,you,-0.04220765732552571,6323
77,car.update,-0.007523902848081231,1
78,rather,-0.04650781194685682,508
79,few,-0.04794023611205672,1644
80,they,0.017953832738246536,6043
81,revving,-0.011207517757854111,7
82,sometimes,0.01007858230886053,385
83,floor,-0.013640097352920412,434
84,expectations,-0.0043534090687914655,83
85,durable,0.06365812319752123,864
86,sounds,-0.0009256742948907974,571
87,put,0.0022882747071563173,2255
88,times,-0.03009251288447961,941
89,does,-0.09678636025783993,3529
90,already,-0.012845805102490305,710
91,2,0.01437527487518685,2045
92,shifting,0.001912426945879891,7
93,supposed,-0.08350133577597367,469
94,hard,-0.09661511448812865,1458
95,after,-0.11349480625891728,2282
96,starts,-0.011796926383802135,149
97,basically,-0.05576249936306564,321
98,red,0.010127970517872047,355
99,their,0.05071401659638429,2002
100,push,-0.02809484532600589,485
101,travel,0.008593630216352472,90
102,example,-0.020228981790517676,177
103,boys,0.03624111506128081,489
104,much,-0.022075658319580856,3121
105,bit,0.048927899764927625,1079
106,turning.unfortunately,-0.007523902848081231,1
107,quickly,-0.023097844377301238,699
108,anything,-0.04069941104104843,868
109,side,-0.021347244309926135,693
110,really,0.006990275028091962,3774
111,car,0.007322920658589724,736
112,enough,0.0168624420248179,1519
113,comes,0.0506564190213768,1167
