,Word,Value,Freq
0,want,0.06277674074375707,77
1,to,-0.011588321880493753,812
2,change,-0.003750793742855289,13
3,allen,-0.020459354390707302,1
4,lives,-0.00013674391261358078,8
5,our,-0.052383125937506034,51
6,but,0.008329904948850136,128
7,#,0.04632010333723052,565
8,~,-0.04909606700844626,6
9,thoughts,0.0020706128899209784,6
10,remain,-0.020459354390707302,1
11,",",-0.02683552956063332,600
12,therefore,-0.014281631994099795,3
13,bound,-0.020459354390707302,1
14,we,-0.05014875594546379,105
15,james,-0.02877512442732275,2
16,.,0.02991028104159757,1070
17, ,-0.022826968652871198,323
18,quote,-0.005704575529574699,5
19,refuse,0.008285814963284085,3
20,weekend,-0.05617506922373172,23
21,of,-0.021399539927111612,494
22,a,-0.012849252565483287,602
23,work,-0.06069943804018671,71
24,school,-0.07164501641389011,34
25,full,-0.009978858689118662,12
26,yeah,-0.035651875886813456,14
27,:),-0.08632014433888183,39
28,or,0.04376221035969425,74
29,not,0.03959592889546612,207
30,it,0.020658347101242355,400
31,'ll,-0.01670208826196553,46
32,see,-0.031754706156536694,64
33,unfollow,-0.020459354390707302,1
34,you,0.08949473892996183,387
35,...,-0.02974075031233976,240
36,whatever,0.01527353047347349,7
37,@p90xer_4_life,-0.020459354390707302,1
38,i,0.016766693966811293,967
39,be,-0.04463528735590265,206
40,if,0.09758981213002571,102
41,give,-0.010733488548706899,24
42,up,0.027141478052668432,170
43,rain,-0.022920089740260136,4
44,me,0.037857904407395004,284
45,lobo,-0.020459354390707306,1
46,..,-0.04722847173604024,111
47,another,0.0007586877979493924,27
48,song,0.0323014111458053,15
49,chance,-0.007653564140988203,7
50,shine,0.01332163698283318,3
51,again,-0.007320691221849218,39
52,once,0.018428212902674795,14
53,grow,-0.013058340973150843,6
54,some,0.06152491876061898,74
55,sun,0.011697041329027361,5
56,-,-0.03850942038788938,97
57,out,-0.007971111799387047,155
58,rage,0.08334335627141015,22
59,is,0.04974494247880245,483
60,dear,-0.01016415198614017,15
61,your,0.06249121002588331,154
62,kindly,-0.028916810447028395,2
63,my,-0.025366790823906513,597
64,tune,-0.02709653389167089,7
65,red,0.008150674828624315,7
66,refrain,-0.020459354390707302,1
67,internal,-0.020459354390707302,1
68,whistler,-0.020459354390707302,1
69,are,0.011305974483479224,159
70,has,-0.01773272672588809,67
71,back,-0.035775129828150794,79
72,he,-0.0073680267108904435,73
73,notts,-0.020459354390707306,1
74,clue,-0.020459354390707306,1
75,n't,0.06979039922308325,322
76,@coller81,-0.020459354390707306,1
77,no,0.00028572670764838567,109
78,for,-0.06979920476996597,324
79,thinks,0.006839843828996714,2
80,lad,-0.020459354390707306,1
81,going,-0.02895986729216874,71
82,na,0.01300822237481495,36
83,good,-0.032892543714921355,62
84,gon,0.007494900652889868,37
85,yet,-0.03507520871843387,23
86,go,0.016316172977677214,71
87,home,-0.07628500309410703,53
88,wish,-0.004055079992071181,25
89,hate,0.074926118771843,92
90,the,-0.030243989778378173,874
91,could,-0.018225742009158743,40
92,wound,-0.020459354390707306,1
93,amount,-0.002532701915302871,3
94,drinking,-0.02652736542237577,2
95,ever,0.0014782395571657217,31
96,heal,0.006705549770069253,4
97,@comiskularperk,-0.020459354390707306,1
98,this,0.04053977777310707,205
99,hope,-0.050535286215543866,24
100,there,0.004770513638136327,80
101,'s,-0.01685238660556981,219
102,and,-0.03746714844686727,563
103,turnout,-0.020459354390707306,1
104,@heiltsukirmd,-0.020459354390707306,1
105,thanks,-0.029915005548195258,14
106,!,0.013258014212272816,551
107,mean,-0.0030107864345669186,9
108,even,0.030725314806709536,54
109,archie,-0.02045935439070731,1
110,things,0.01989682523409953,33
111,about,0.0343734950383559,102
112,@rob0807,-0.02045935439070731,1
113,manning,-0.02045935439070731,1
114,gohogs,-0.02045935439070731,1
115,said,0.025198646645011858,16
116,us,0.004554741599585305,40
117,complimentary,-0.02045935439070731,1
118,everyone,0.0039824348492390645,22
119,taking,0.021158493834230685,16
120,coast,-0.028075187769348073,2
121,thanksgiving,-0.04079878587972926,12
122,on,0.01606094685960064,256
123,already,0.0028871058823277214,18
124,napsss,-0.020459354390707306,1
125,east,-0.020459354390707306,1
126,their,0.03457522208054417,53
127,_,-0.037866986821162,8
128,stowing,-0.02045935439070731,1
129,suitcase,-0.013022376307670424,3
130,m,-0.0003872382067432698,32
131,in,-0.036189501409163466,469
132,n,0.023388244752644838,20
133,ps,-0.03539836031347496,3
134,why,0.07417546197684094,71
135,away,-0.029567558287989036,40
136,bout,0.012523036885408904,16
137,shit,0.08297160105343696,48
138,blankets,-0.028889972730572686,2
139,s,0.006864105255128962,22
140,@kadecole,-0.02045935439070731,1
141,talking,0.008507520898058158,11
142,were,-0.023669344675344102,19
143,figured,-0.010769218024601604,3
144,trip,-0.03523781086848141,4
145,that,0.008323871354570583,330
146,massive,-0.0011566724178811803,2
147,done,-0.045728270125977744,28
148,homework,-0.02071518681984178,14
149,xoxox,-0.020459354390707306,1
150,@shannonvibes,-0.020459354390707306,1
151,:'),-0.020459354390707306,1
152,haven't,-0.020459354390707306,1
153,have,-0.05826721243688248,202
154,did,-0.009991090321209426,60
155,break,0.0037522039704041524,24
156,time,-0.031977143451695444,105
157,where,0.0019263590712627903,25
158,?,0.06194148518051948,193
159,tomorrow,-0.12127125260054758,66
160,cut,0.0013876069094095407,7
161,cutler,-0.02796201733770632,2
162,fantasy,-0.010991772825683947,3
163,team,-0.0205512077418062,6
164,well,-0.02102061800342261,30
165,jay,-0.00440048531228183,2
166,just,0.014786978393354716,189
167,from,0.004567104923101905,95
168,ppl,-0.00037803981170447115,12
169,come,-0.05575116037199579,32
170,write,-0.0021043846022354056,15
171,many,0.008411998923723824,18
172,know,-0.010842150140339585,73
173,find,-0.00465486286625201,33
174,lol,-0.030074606893687177,56
175,music,-0.05090566480253711,30
176,especially,-0.012169630644915965,10
177,video,-0.048669459677327775,6
178,all,-0.029023426607171457,176
179,sit,-0.03180798647340485,5
180,plasma,-0.020459354390707302,1
181,seeing,-0.033442856627391215,11
182,lobby,-0.020459354390707302,1
183,who,0.060416840560099036,65
184,as,0.007737276065321413,66
185,need,0.05147619233787942,47
186,kids,-0.007521764353571843,13
187,was,0.008680546473480048,127
188,worth,0.07194033967422656,18
189,feel,0.028870207556851185,50
190,still,0.047213769119963236,34
191,do,0.08126322120323178,264
192,really,0.0351886656851035,58
193,eyes,-0.03410329618576416,10
194,throat,0.03824410155973634,10
195,dizzy,-0.020459354390707306,1
196,planned,-0.020459354390707306,1
197,itchy,-0.020459354390707306,1
198,how,0.04435478224148737,75
199,saturday,-0.02297553957382921,5
200,sore,-0.028013046896612083,2
201,muscles,-0.020459354390707306,1
202,:(,-0.07601238627138221,34
203,@zaynmalik,-0.02045935439070731,1
204,america,-0.035424623547686614,3
205,west,-0.028648852878315416,2
206,ur,0.04848408396420567,29
207,happy,-0.0640748842317833,28
208,hear,-0.02224736771049566,7
209,so,0.028944795297173812,178
210,:,-0.030336443731495497,152
211,touring,-0.02045935439070731,1
212,d,-0.03253354105681672,27
213,with,-0.012597448952902079,202
214,make,0.017778581567823293,66
215,houses,-0.020459354390707306,1
216,lights,-0.02815233465780452,2
217,christmas,-0.11877744392118424,65
218,when,0.07368392806464683,196
219,learn,-0.00033900795321300853,11
220,pain,0.004154062270349879,15
221,lose,-0.005867772304304971,10
222,quit,-0.015197057284797621,5
223,embrace,-0.019219132516739477,4
224,will,0.010339147124579864,93
225,together,-0.04021543812255335,7
226,fearing,-0.00633883219899781,2
227,everything,0.017422647795182378,12
228,@zachr_21,-0.020459354390707306,1
229,stop,0.02977581120754194,28
230,sponsor,-0.020459354390707306,1
231,embarrassing,-0.020459354390707306,1
232,boy,-0.020436898657781446,7
233,bad,-0.005619604621198499,33
234,&,-0.04582302191594342,141
235,warm,-0.039041361460761176,7
236,shower,-0.013932316621208895,7
237,morning,-0.06206185380293354,40
238,plumbing,-0.020459354390707306,1
239,thankful,-0.04631720094644785,6
240,frosty,-0.006374209991441636,2
241,indoor,-0.016710823010753613,3
242,tweet,0.033313932336140925,31
243,@zacharygc,-0.02045935439070731,1
244,bc,-0.01634755815046779,6
245,instead,-0.0008369336523351635,11
246,texting,0.026036495113106052,4
247,follow,-0.035685018830060075,19
248,twitter,0.0013188706829611499,41
249,jon,-0.020459354390707313,1
250,only,0.019519138411106456,83
251,child,0.01641619691927674,6
252,summer,-0.02864885287831546,2
253,over,-0.024278155136378765,37
254,officially,-0.008289066853243302,8
255,am,0.041071811416819336,66
256,korea,-0.020459354390707313,1
257,an,0.01578239820162391,94
258,feels,-0.03737554186024132,6
259,head,-0.014193022092878881,17
260,"""",0.015108843883656659,106
261,dunghill,-0.02045935439070731,1
262,wow,-0.012715442881770577,15
263,gawker,-0.02045935439070731,1
