,Word,Value,Freq
0,"""",0.10481523616959935,246
1,your,0.011156046060073298,264
2,txt,-0.015723192698301934,1
3,back,0.001763223072024004,112
4,not,0.21166142001246097,584
5,love,0.15877025464800815,437
6,more,-0.006974487843954861,97
7,getting,-0.005870913475896615,58
8,girlfriend,-0.018110102001021235,6
9,you,0.029739377822976018,623
10,.,-0.05329008306091567,1725
11,from,0.0170476507220597,169
12,i,0.08769695778402975,1615
13,then,-0.06613854775491824,80
14,depressing,-0.02789070427767372,6
15,nothing,-0.020205178593901064,37
16,an,-0.04315418697329452,123
17,to,-0.06036919197369601,1268
18,and,0.06734042395485992,1089
19,rg3,-0.015723192698301927,1
20,talk,0.009852023140352627,28
21,all,-0.012919350947422309,268
22,time,-0.04100875211270773,211
23,it,0.013781159369552601,628
24,cuz,0.018009488449869947,21
25,knew,-0.02770241487043954,12
26,next,-0.01886239801341399,57
27,be,-0.03157865012917246,374
28,who,-0.026173080726414853,95
29,small,0.00664046721340037,6
30,get,-0.023819665226883252,183
31,we,0.04427262581398897,208
32,was,-0.03508174805665937,203
33,cut,-0.004461620621436109,14
34,na,-0.033349553719335276,58
35,gon,-0.03338071788263318,60
36,just,-0.07464850055938763,276
37,the,0.03697929270496317,1495
38,winner,-0.029372606332046775,4
39,had,-0.047561081346657944,78
40,learned,-0.02205942616525785,5
41,kid,-0.041398122192138696,15
42,a,-0.08509532039037179,1019
43,play,0.017745256663783696,24
44,wished,-0.01697564127284732,4
45,steel,-0.01572319269830193,1
46,pan,-0.02208021407021817,2
47,as,-0.008115740742108659,117
48,percieved,-0.01572319269830193,1
49,always,0.024675860563957455,48
50,scolding,-0.01572319269830193,1
51,expecting,0.003331458619771746,2
52,-___-,-6.362911499774304e-18,2
53,teacher,-0.0496600161140176,12
54,on,-0.05908003351816342,408
55,rushing,-6.010545793716515e-18,2
56,lecture,-0.02508224304251582,3
57,how,0.01865512456909442,106
58,'m,-0.006271101572138456,257
59,because,0.03885535063023023,61
60,of,0.19167837669032858,1175
61,notes,-0.013962014723066055,3
62,start,-0.043616773182087384,39
63,?,0.003706241891130704,288
64,is,0.04239413873092142,777
65,pages,-0.022238701440076256,2
66,20,-0.03154674137696932,10
67,my,-0.1262695033990677,813
68,hard,0.00639606975619849,18
69,why,0.0028861634175222075,88
70,oh,-0.06804709875904735,60
71,for,0.07254763971142851,760
72,so,-0.0539894683386664,272
73,ya,0.005987645040237503,12
74,studying,-0.04039525454389567,12
75,packet,-0.015723192698301934,1
76,typed,-0.015723192698301934,1
77,me,-0.0010984363241987633,443
78,ice,-0.01847736574987119,6
79,cream,-0.035130272875450765,6
80,sad,-0.0547772367039696,26
81,...,-0.018535369173356256,381
82,its,-0.016314071241480398,97
83,night,-0.05282029676254427,107
84,song,-0.00330095584454174,16
85,!,-0.0922605274631697,772
86,carolofthebellsabr,-0.015723192698301934,1
87,#,0.17890816767995868,1177
88,running,0.0005312844540416974,10
89,answer,0.006274082925462373,10
90,heck,0.0007937330409740512,2
91,got,-0.04889447160744308,121
92,provides,-0.02468683341583766,3
93,joy,-0.08409229253486675,42
94,may,0.00054916642104719,29
95,",",0.1277568901386743,1249
96,ringtone,-0.015723192698301934,1
97,up,-0.05478764911071227,231
98,due,-0.0157298914747148,17
99,yea,-0.03752788165109711,6
100,call,0.02969862837630402,25
101,christmas,-0.12756072846014338,109
102,if,0.042811504842113934,172
103,middle,-0.016371633583632174,8
104,ta,-0.008567450451279324,32
105,walk,-0.006502565550278243,26
106,school,-0.06426961347940674,45
107,puddles,-0.015723192698301927,1
108,in,-0.022966511033129255,795
109,old,-0.023407777383742393,38
110,entertain,-0.015723192698301927,1
111,job,-0.030587899352738812,11
112,'s,-0.054443397027890514,416
113,thanksgiving,-0.059738057440310174,24
114,cousins,-0.02084649580514852,2
115,-,0.01278534798960088,157
116,out,0.0033259871294106613,225
117,ness,-0.015723192698301927,1
118,w/,-0.040974607471586676,13
119,yourself,0.006084693578404387,8
120,one,-0.004898395538336337,182
121,full,-0.019816697141030064,21
122,radiate,-0.015723192698301927,1
123,&,-0.002204854966245826,282
124,make,-0.004532976520862061,96
125,fill,-0.030818156349824762,4
126,weekend,-0.04396732461218225,29
127,thank,-0.01668951518501276,19
128,appears,0.01795399678939871,4
129,send,-0.022109171203097314,10
130, ,0.038179721207834576,531
131,piece,-0.02310565222749702,7
132,work,-0.10650893037503416,99
133,fantastic,0.025494585308751726,6
134,seeing,-0.007976966526680881,28
135,him,0.01685644324370831,47
136,simpson,-0.015723192698301927,1
137,pilgrim,-0.022184748258592863,2
138,young,0.0020259152677254534,9
139,charlie,-0.02669399579642092,3
140,year,-0.024665321081683712,45
141,genius,0.013233945526118457,3
142,such,-0.03085129885979409,23
143,eyes,0.04147062192340159,29
144,sometimes,0.005540592417186739,18
145,@mrchuckd,-0.01572319269830193,1
146,damn,-0.006910066401601153,20
147,gang,-0.01572319269830193,1
148,at,-0.08808770016301243,249
149,initiation,-0.01572319269830193,1
150,no,0.016774012320743704,169
151,=,-0.012207078734525142,23
152,hazing,-0.01572319269830193,1
153,thin,-0.02694099226967284,3
154,many,0.020181551030094624,36
155,line,0.005550199827923867,16
156,another,-0.06897810996654932,38
157,do,0.04567052764463519,399
158,once,0.0015581068140460399,16
159,this,-0.07178386340855923,327
160,someone,-0.01259834869165513,46
161,chance,-0.01643873314470566,8
162,doing,-0.0378112100184678,38
163,again,-0.011507455326667967,47
164,feeling,-0.019156042608213093,55
165,onemorereasontohateu,-0.01572319269830193,1
166,something,0.028273510071305387,59
167,screw,-0.022200306810360254,2
168,.....,-0.007313123042987096,27
169,that,0.048321527175765724,540
170,:(,-0.0822770959183001,46
171,please,0.043168280695403266,38
172,wave,-0.02186673565700971,2
173,cheer,-0.028549085836217826,8
174,sudden,-0.025882580677860367,3
175,everyone,-0.019978677510213858,30
176,saw,0.0010482219183499423,29
177,highlight,-0.02064741170152751,2
178,wish,-0.02627612172250583,29
179,church,-0.031299092828151444,7
180,@sabambury,-0.01572319269830193,1
181,english,-0.031343969391998516,8
182,business,-0.015482287709190964,12
183,exam,-0.029853913292110443,10
184,week,-0.04745201660649183,52
185,studies,-0.01572319269830193,1
186,science,-0.032973853143484916,5
187,maths,-0.026952084936322104,3
188,vid,-0.01572319269830193,1
189,days,-0.07000475141376508,44
190,paper,-0.06502275572935012,23
191,already,-0.023080544540905242,29
192,finish,-0.023454673528493276,10
193,now,-0.06049140034733571,171
194,memorize,-0.01572319269830193,1
195,late,-0.033519024538324844,18
196,have,0.13561293476671193,580
