,Word,Value,Freq
0,waking,-0.012055300678528558,20
1,up,-0.0457198943679398,341
2,sleep,-0.01594717513900233,87
3,n't,0.10765372403296966,841
4,ca,0.045262005687170676,262
5,#,-0.10360129242973729,1074
6,...,0.06290711466070165,620
7,6,-0.01853854472936127,24
8,at,-0.007628466411252501,461
9,butreally,-0.013154479024050546,1
10,tomorrow,-0.07493248142207481,288
11,unlovedchild,-0.013154479024050546,1
12,julie,-0.013154479024050546,1
13,wow,-0.0053371029770329405,36
14,late,-0.010405763133714604,36
15,me,0.01132138421587849,652
16,.,0.016804341657325056,2541
17,hour,-0.052529519552942355,52
18,for,-0.08797922211977283,895
19,is,-0.0060574177121501035,956
20,an,-0.013777305466877634,200
21,today,-0.05724824646683203,338
22,came,-0.009306597098161642,22
23,holy,-0.012191501740691665,8
24,bus,-0.03432453837287606,28
25,octranspo,-0.013154479024050546,1
26,upside,-0.013154479024050546,1
27,worlds,-0.022050033920251184,3
28,the,-0.045064345911366675,1978
29,got,-0.011975164070337848,228
30,i,0.12661897597835828,2538
31,time,-0.03602486494107417,286
32,a,-0.029352458776728277,1525
33,turning,-0.015983919546414677,8
34,shit,-0.014567859704573617,70
35,on,-0.013319218523605665,637
36,!,-0.05747025561903669,1179
37,down,0.008210300411195717,78
38,that,0.03359180802817712,729
39,mr,-0.007302269140561552,9
40,are,0.019982342445971777,279
41,gunna,0.006970521412758834,8
42,'s,0.019493130283591616,566
43,week,-0.014886496209612372,99
44,mango,-0.013154479024050546,1
45,after,-0.0021217268827418614,82
46,workout,-0.011641438243058074,4
47, ,-0.031531448017183335,623
48,be,0.00035504120816122416,511
49,sore,-0.015280906311005727,4
50,with,-0.03394478862794782,442
51,god,-0.03383710679664524,82
52,stop,-2.1998473417600452e-05,47
53,of,-0.07918510372311618,1078
54,when,0.04052010607645678,415
55,true,0.02774960081855783,28
56,out,0.012515708903901128,302
57,love,-0.0862023152310884,305
58,relationship,0.015648471002716928,7
59,you,0.061410592044603314,864
60,and,-0.04468792913809133,1360
61,begin,-0.027041915497135343,12
62,him,0.031579496886198585,73
63,in,-0.05115694590621538,1026
64,serving,-0.020947726587504427,3
65,have,-0.00651351773483036,655
66,4,-0.021285877366168056,56
67,"""",-0.04760147772713415,206
68,shelf,0.006909503778552784,2
69,@hartramsey,-0.013154479024050546,1
70,called,-0.01721385929258224,14
71,its,0.026919475469172872,146
72,long,-0.022827912884343327,77
73,it,0.03595993165792276,877
74,resentment,-0.013154479024050546,1
75,stored,-0.013154479024050546,1
76,exceeds,-0.013154479024050546,1
77,&,-0.06701764852379118,287
78,grows,-0.018601988910402573,2
79,bitter,0.016912936832346927,4
80,so,0.02180481960200572,446
81,life,-0.0172173715200896,172
82,spite,-0.013154479024050546,1
83,:,0.0024490208940238234,393
84,heart,0.02856588165741065,71
85,root,-0.021881048515065626,4
86,because,0.054393047274380726,99
87,die,0.032522716453474716,33
88,broke,0.034288432898393034,33
89,say,-0.0006996009843912489,66
90,what,-0.007887798220608864,228
91,house,-0.0169606285894434,63
92,fire,0.01159580031403196,12
93,who,-0.0218804622559818,102
94,wrong,0.014063346135807665,24
95,should,0.0004283358993441603,83
96,their,-0.013201121575744771,79
97,was,0.047967661425166244,341
98,computer,0.020443264933775705,14
99,people,0.004820456151283189,189
100,figured,-0.022557898810308428,3
101,get,-0.003515344318923388,303
102,crazy,-0.007838293912340883,24
103,to,-0.0037279263877009554,1951
104,band,0.010649794877497523,17
105,my,0.02262052268013814,1471
106,work,-0.04956253640048004,201
107,insanely,-0.01843721067733157,2
108,tonight,0.002159630885981723,125
109,day,-0.0332355234149941,286
110,ex,0.0007768116103290534,4
111,watch,0.022434487793891095,72
112,middle,-0.017225645873944557,16
113,lies,-0.03415311366905869,7
114,disgusting,-0.020796006742428153,7
115,there,0.03462373125982721,168
116,chocolate,0.012249839422894346,24
117,not,0.014982177433511762,489
118,krave,-0.013154479024050545,1
119,advert,-0.008853702994099454,3
120,cereal,-0.012365795890206928,4
121,",",-0.04872391103909224,1389
122,alexlin,-0.013154479024050543,1
123,excited,-0.023760749657580092,39
124,asianobsession,-0.013154479024050543,1
125,makes,0.010320575310488515,50
126,faster,0.01572545085230088,5
127,mind,0.007290649687016551,29
128,your,-0.02621967317937795,331
129,mouth,-0.01604506677370931,7
130,than,-0.02076775113712769,64
131,feeling,0.011626754951446105,81
132,everyone,0.0026803275380110243,50
133,overlooking,-0.013154479024050545,1
134,has,0.008452746861433633,149
135,happiness,-0.021593292870001588,32
136,everlasting,-0.013154479024050545,1
137,searching,-0.01315646695503685,3
138,..,0.018226030565893385,343
139,placed,-0.013154479024050545,1
140,them,-0.0035552523742851967,109
141,soon,0.026154908775004707,33
142,can,-0.02914279312667657,205
143,?,0.054976469695900296,379
144,running,-0.004375798266199682,16
145,hair,0.01104161719825654,45
146,too,0.06228556172624209,163
147,define,-0.013154479024050545,1
148,style,-0.00019768970070813957,3
149,amok,-0.013154479024050545,1
150,ride,-0.025690620901757198,18
151,@fear_in_words,-0.013154479024050545,1
152,oh,-0.014746586328598831,109
153,we,-0.007829258500847563,236
154,@r_slee,-0.013154479024050545,1
155,cut,0.022508993067787315,17
156,imagination,0.0022166737985181255,2
157,head,-0.017827230078884777,42
158,-,-0.011690642238571716,204
159,her,0.003278737188725679,106
160,raped,-0.013154479024050545,1
161,all,-0.013831005191316345,388
162,those,0.002680283088825352,54
163,defending,-0.013154479024050545,1
164,sick,0.015839713730252246,43
165,defends,-0.013154479024050545,1
166,she,-0.018812373318160925,116
167,molested,-0.013154479024050545,1
168,boys,0.01068578738010915,19
169,wife,-0.0022543983202259537,13
170,sandusky,-0.013154479024050545,1
171,husband,-0.007053305095025241,7
172,hope,0.011853265009829275,57
173,@shugga_shayne,-0.013154479024050545,1
174,had,0.039622832235507485,146
175,great,-0.03466652637040793,77
176,tn,-0.017433906704135235,2
177,d,-0.011294035351314152,50
178,half,-0.01629373989480605,43
179,listening,-0.018523599127441507,20
180,morn,-0.01859379728995062,2
181,2,-0.0268974662316449,121
182,trip,-0.02773655309981405,20
183,floor,-0.020827553937076616,7
184,fith,-0.013154479024050545,1
185,acid,-0.013154479024050545,1
186,did,0.028917334709647788,160
187,mention,0.021171759849495354,9
188,news,0.0028931089943943487,25
189,off,-0.02176528064391821,136
190,other,0.011907485907422174,40
191,excelled,-0.013154479024050546,1
192,another,-0.017338454292816226,76
193,incompetence,-0.013154479024050546,1
194,means,0.0157567584454104,20
195,dear,-0.01615737863702061,23
196,fsa,-0.013154479024050546,1
197,complaint,-0.003922577316967457,2
198,yourself,-0.026452051211927542,11
199,again,-0.031532431389989055,83
200,    ,-0.014966182735685162,7
201,which,-0.017548049143409107,25
202,barclays,-0.013154479024050546,1
203,utter,-0.0225951100150235,3
204,yet,0.022701852509555684,63
205,hahahah,-0.013154479024050546,1
206,@lferg42,-0.013154479024050546,1
207,places,-0.0075993946695437475,6
208,working,-0.015029057814597204,47
209,two,0.011669035880898678,52
210,blackfriday,-0.01853685895245763,2
211,6am-11pm,-0.013154479024050546,1
212,'m,0.02319344702012315,424
213,like,0.03970951625044291,335
214,do,0.04814960506278143,530
215,whole,-0.012356525500361704,41
216,talk,0.005468945130130132,53
217,why,0.04795500792775835,123
218,morning,-0.04797002019001748,119
219,twitter,0.02337054414073828,88
220,business,-0.012245905675642672,13
221,random,-0.01873896118662355,5
222,/,-0.0036551829298164702,64
223,heeeeyyyyy,-0.013154479024050545,1
224,presentation,-0.0336066488769889,7
225,were,0.018265784183048486,72
226,@mywonton,-0.013154479024050545,1
227,screen,0.013171729620355697,12
228,shot,-0.0009786854299012908,9
229,tweets,0.017925173855084613,22
230,incredibly,-0.013154479024050545,1
231,melancholic,-0.013154479024050545,1
232,soaked,-0.009119551957661082,3
233,pants,-0.02414214337374098,4
234,class,-0.004764718165948346,66
235,=,-0.0011963231345483538,29
236,+,-0.004893512310703176,16
237,wind,-0.022521910331676227,4
238,rain,-0.00041497160120199084,27
239,putting,-0.013268747916028539,13
240,xmas,-0.03520182048603633,29
241,tree,-0.03474736231171868,30
242,times,0.022892406100652497,25
243,christmas,-0.07500204782655079,186
244,fun,0.00790543904881828,46
245,believe,0.013564310776303252,39
246,calls,-0.012391663779336004,7
247,contacts,-0.018437210677331544,2
248,being,0.01626535792522247,86
249,first,-0.010766756505121853,107
250,phone,0.035845261794127115,75
251,most,0.0011728928397155723,60
252,person,0.00835054614767816,57
253,voicemails,-0.013154479024050546,1
254,many,0.008735657539915474,47
255,peoples,0.0024915149563961847,2
256,fabulous,-0.01858565561683394,2
257,jello,-0.013154479024050548,1
258,cottage,-0.013154479024050548,1
259,more,-0.004173067984394967,151
260,this,-0.011246676044705948,509
261,leave,0.0365229591159866,62
262,cup,-0.00040924700119155744,17
263,instead,-0.01756722091935047,21
264,milk,0.02698670090382719,7
265,one,0.002576005936414686,262
266,cheese,0.005129041899050159,5
267,window,-0.0187876692118189,7
268,@makenzie_stoner,-0.013154479024050548,1
269,sill,-0.013154479024050548,1
270,young,-0.010267634371515778,14
271,na,0.0045975473125750566,113
272,gon,0.0025754965303118257,113
273,prolly,0.011293369880213124,4
274,dispatcher,-0.013154479024050545,1
275,attack,-0.01991866362202556,9
276,want,0.061150035769131375,141
277,come,-0.002415305240785587,71
278,awh,-0.013154479024050545,1
279,pic,0.0021880274555546118,8
280,making,-0.02198945411595563,48
281,hospital,0.0010491002342413098,8
282,@chrisfinley1,-0.013154479024050545,1
283,see,0.01826560145214976,156
284,send,-0.003548550989907086,13
285,now,0.02817983317860697,280
286,real,-0.009923344402313251,49
287,m,0.008753512087852001,123
288,hate,0.009024219007220712,102
289,they,0.016842819138146253,198
290,meigh,-0.013154479024050543,1
291,feet,0.00040587537886230176,11
292,really,0.02670838513078192,149
293,fumble,0.0021738090298210246,2
294,upstairs,-0.014340104901782651,4
295,gain,-0.008813128116377716,6
296,downstairs,0.0041239052102076115,4
297,back,0.017360889546079453,221
298,screaming,-0.02115133590804347,6
299,huge,-0.007017216255741704,14
300,giants,-0.007542684966221789,3
301,goes,0.004146230604707547,17
302,brother,-0.008883159265303107,34
303,comes,-0.018674225276687176,28
304,much,0.013924715167568137,111
