,Word,Value,Freq
0,today,-0.005813934572905213,300
1,all,-0.05427757972214665,294
2,sick,-0.04782169043373924,25
3,getting,0.00775767409775671,80
4,lost,-0.034481122173092384,22
5,makeup,-0.0025768582271123433,6
6,interviews,-0.014307630505634841,1
7,",",-0.0655074535328514,1123
8,capp,-0.014307630505634841,1
9,my,0.00855300337814903,1240
10,get,-0.0110191231998579,233
11,to,-0.05548190931978224,1627
12,drive,-0.012290828189851066,24
13,up,0.03779287940840198,315
14,morning,-0.02237924990422337,100
15,back,-0.041507629472177315,157
16,8,-0.016232171705702174,21
17,.,-0.06426663811316634,1992
18,and,-0.02668654571185378,1137
19,smyrna,-0.014307630505634841,1
20,i,-0.036252303158025814,1951
21,in,-0.016855547589113916,937
22,the,-0.03695414717632138,1731
23,have,-0.057512863337311135,476
24,at,-0.028699507161333838,351
25,@eddygreenall,-0.014307630505634843,1
26,good,0.03748360218308549,164
27,like,-0.03665077220169239,233
28,a,0.07855690720689107,1398
29,test,-0.025659874157486037,31
30,christmas,-0.012634804361548598,218
31,present,0.05032571324105216,32
32,!,0.060224399864465705,1206
33,luck,0.002317040660464514,10
34,aaa,-0.0013460852244384942,2
35,says,0.013033991856984034,19
36,nothing,-0.008850476466101228,38
37,early,0.02091568904752578,51
38,"""",-0.024915223875321774,196
39,of,-0.10003294243359306,924
40,emotional,-0.027825048467539533,4
41,cry,-0.03587752953064634,17
42,new,0.04158437044743764,110
43,they,0.008785629313206141,164
44,day,-0.005100601170198312,249
45,far,-0.0029631990688627303,9
46,',0.01914797063323451,64
47,most,-0.02403053896620967,39
48,looked,0.02830143218120201,11
49,tears,-0.038495495838033925,23
50,song,0.022896846136236215,17
51,by,-0.003981677235317525,103
52,performed,-0.014307630505634843,1
53,was,0.08906648807189037,333
54,ye,-0.014307630505634843,1
55,jay,0.01719434659944582,4
56, ,-0.027853941671912012,574
57,could,-0.011578525966805924,68
58,ughhhhh,-0.014307630505634841,1
59,now,-0.07972122150562641,226
60,move,0.017653535555182173,9
61,can,-0.007390308969193854,167
62,double,-0.015317993083983635,11
63,work,-0.054694203409583794,132
64,barely,0.004179560794432385,3
65,with,-0.033117571540806905,397
66,want,-0.007046616972134422,85
67,m,0.01346272948584977,122
68,do,-0.01930974748862678,381
69,start,-0.01241313949639561,45
70,is,-0.028286752163484544,775
71,spare,-0.014307630505634841,1
72,this,-0.02586896491156261,382
73,not,-0.04134459161162574,367
74,it,0.04136555777995741,720
75,...,-0.022497867304076068,487
76,during,0.0010990936089033793,18
77,when,0.04428053823836415,358
78,debate,-0.014307630505634841,1
79,for,0.02113152266241837,831
80,myself,-0.008610703240120665,31
81,any,-0.01410151280391117,41
82,nt,-0.0036507816325931242,111
83,homework,-0.04513707854887885,28
84,really,0.0030889251501225344,107
85,k,-0.0009603113621564762,6
86,80,0.010682726747799772,2
87,/,-0.012958454154964643,60
88,w,0.004081536839102808,13
89,'s,0.029985329854144455,483
90,thanksgiving,0.014827601338773056,52
91,grandma,-0.006024384241454281,7
92,be,-0.012114480844840883,397
93,part,-0.018231080301312035,22
94,highs,-0.014307630505634841,1
95,&,-0.06812873333624683,266
96,spend,-0.04260057030991305,23
97,deux,-0.014307630505634841,1
98,springs,-0.014307630505634841,1
99,palm,0.0018320888262166259,2
100,here,-0.010514028765535009,76
101,mom,0.07855309457951447,94
102,beautiful,-0.03598463232063388,21
103,will,-0.011312008652638806,188
104,ahhh,0.00805316602658947,4
105,yes,0.03062197790992497,30
106,4,-0.022639359859767998,48
107,out,0.04623333575720578,279
108,fuck,-0.03029650217354818,39
109,=,-0.04048915165452152,28
110,oh,0.020303569834794873,81
111,room,0.014919002639580639,62
112,moving,-0.01095176853837298,10
113,brother,0.02500791822423653,28
114,me,0.008434090184556205,544
115,musical,-0.0201698981271222,2
116,are,0.023528685228256463,271
117,our,0.03559605667104995,130
118,chicago,-0.014307630505634843,1
119,@christinaperri,-0.014307630505634843,1
120,same,-0.025026586740057886,26
121,damn,-0.006851274316753869,37
122,time,-0.022172452824123234,206
123,shows,0.018079909955021595,7
124,doing,-0.0035893559668263054,50
125,'m,-0.005131903588924099,345
126,memphis,0.0049079200433701335,2
127,feel,-0.07965682031901344,99
128,come,0.02430712002393859,71
129,4th,0.005149887750922382,2
130,anyone,0.020861675389827805,23
131,?,0.045665390775921924,375
132,won,0.01237781785760116,10
133,may,0.005881670891343009,17
134,we,0.044684062345965905,229
135,else,-0.012675049189773037,16
136,league,0.010816622668624105,7
137,that,0.024502153697020367,628
138,if,-0.01778066633388063,171
139,end,0.021348128515924707,31
140,mood,0.008557773963715754,11
141,living,-0.001808367608310648,12
142,laughing,-0.008226529060848524,7
143,better,0.040528646405681615,49
144,things,-0.009392167419695065,58
145,little,-0.004504096959576976,54
146,should,0.0020359516146061527,64
147,as,-0.010971596371954419,95
148,life,-0.06951606197869742,101
149,much,0.0007198271160950072,81
150,murdered,-0.014307630505634843,1
151,walker,-0.014307630505634843,1
152,you,0.055287054394686175,709
153,#,-0.017764767453142188,1048
154,then,-0.043068311016296754,119
155,added,-0.014307630505634843,1
156,other,-0.028616104693995583,43
157,penalty,0.01041083178945642,2
158,team,-0.026342613374738613,20
159,no,-0.018303605304802035,197
160,fifa12,-0.014307630505634843,1
161,score,0.01325848520376702,3
162,box,0.036556589973541526,20
163,on,0.0015697291990468465,542
164,pen,-0.018549759881117112,2
165,put,0.008305902027650853,70
166,last,0.006531050092776894,103
167,..,-0.010829065796511807,268
168,forgot,0.018731555017231824,29
169,product,0.0012996131643356734,7
170,hair,0.04045227629794265,39
171,night,0.008662570627014523,141
172,7,-0.016445067726227166,13
173,softball,-0.014307630505634843,1
174,am,-0.0372494618315051,110
175,tournament,-0.020219940357067874,2
176,now.not,-0.014307630505634843,1
177,even,-0.0008291999771633596,82
178,trig,-0.014307630505634843,1
179,hours,-0.030972294881456877,54
180,done,-0.03641112144889286,49
181,been,-0.010517858666726995,87
182,close,-0.021772507837057323,16
183,foldable,-0.014307630505634843,1
184,2,-0.028721822542637977,92
185,being,-0.03340046581469339,67
186,fucktrig,-0.014307630505634843,1
187,tonight,-0.017195488624051167,111
188,football,-0.024428171167355024,13
189,banquet,-0.02023611646290884,2
190,wo,-0.02889228879134162,52
191,@sjcoltrane,-0.014307630505634843,1
192,but,-0.012613917888747436,289
193,about,-0.0069294535399965895,180
194,learn,-0.007114056547190649,11
195,n't,0.025355693378739188,599
196,quiter,-0.014307630505634843,1
197,bigotry,-0.014307630505634843,1
198,lose,-0.01580115912178555,16
199,risk,-0.014307630505634843,1
200,people,-0.031240730542288635,139
201,stomach,-0.011826303868820184,10
202,iquit,-0.014307630505634843,1
203,"
",-0.012360263712501918,16
204,know,0.07807675057838376,193
205,),0.017280726996804677,100
206,feeling,-0.04118135808307218,47
207,nervous,-0.01317455169715628,5
208,(,-0.001500604041869366,84
209,potato,-0.0041272068877829995,2
210,girls,-0.00589350706661706,22
211,soccer,-0.019738941646200596,2
212,party,0.03943353248144757,75
213,cool,0.004693576536107212,19
214,lookin,0.014435723742754196,6
215,compared,-0.014307630505634843,1
216,just,0.04073474763443225,394
217,yesterday,-0.056922390803025004,75
218,skins,-0.014307630505634843,1
219,lt,-0.014307630505634843,1
220,game,0.011353634599888855,50
221,from,0.0366893596252435,199
222,change,0.0131365941272636,22
223,lead,-0.00815071571171791,4
224,~,-0.044151711240378304,15
225,great,0.0325102257126516,80
226,rohn,-0.014307630505634841,1
227,jim,-0.014307630505634841,1
228,disgust,-0.003476425373098213,3
229,two,-0.03199822124251175,35
230,  ,-0.02387417618248365,58
231,philosophy,-0.014307630505634841,1
232,:(,-0.08712962318304582,65
233,go,-0.016657607764244426,151
234,always,0.01744993414774178,52
235,tradition,-0.020206067883237196,2
236,'re,0.025659536973909942,84
237,year,0.0051859966256297485,83
238,family,-0.010350298707904078,65
239,shopping,-0.03078194340241457,43
240,half,0.01605339573077772,36
241,-,-0.006376208898803226,153
242,lived,-0.023295059408640913,3
243,live,-0.007596011051431291,40
244,proverb,-0.02467711700423075,3
245,spanish,-0.021110700500786464,11
246,concert,-0.023014382856764416,10
247,choir,-0.017883633611164254,2
248,bc,-0.03319367605231741,9
249,cutler,-0.014307630505634843,1
250,without,-0.007162268250034834,22
251,win,0.06996939316791007,51
252,bears,-0.014307630505634843,1
253,another,-0.008496941541259222,64
254,him,0.015187594810564607,57
255,mvp,-0.014307630505634843,1
256,probably,-0.005841108808103939,19
257,disappointment,-0.020236116462908828,2
258,tweeps,-0.014307630505634841,1
259,well,0.022269712952836022,64
260,fuss,-0.014307630505634841,1
261,interact,-0.014307630505634841,1
262,grateful,-0.0066416556061644145,6
263,so,-0.006530408030068891,377
264,@missb62,-0.014307630505634841,1
265,agree,-0.017252788038146148,7
266,disagree,-0.014307630505634841,1
267,tell,0.05570153167877587,55
268,or,-0.02464906912385553,98
269,rules,-0.012937822396283216,4
270,forget,-0.002661892493275652,19
271,someone,0.01664631509232184,80
272,her,0.07663541330217878,114
273,looking,-0.014304998103132457,34
274,ridiculous,-0.02007978742545155,2
275,too,-0.024207876730367762,79
276,relocate,-0.014307630505634841,1
277,wanting,-0.028143733897472538,4
278,atl,-0.014307630505634841,1
279,@t_allen85,-0.014307630505634841,1
280,its,-0.0043899027728523995,106
281,heard,0.020136358534867012,14
282,nice,0.04183486212378373,48
283,toms,-0.014307630505634841,1
284,river,0.0004791941344754572,3
285,wanna,-0.03545096037837348,37
286,pray&ask,-0.014307630505634841,1
287,god,-0.06444191712340223,76
288,sme,0.0024058195554892883,3
289,bein,-0.007328867206502228,4
290,complain,-0.003405647073123747,2
291,stp,-0.014307630505634841,1
292,depressing,-0.024550478447648384,3
293,lord,-0.032759381483248334,16
294,eternalpraise,-0.014307630505634843,1
295,hv,-0.014307630505634843,1
296,understanding,-0.024328945467409883,3
297,who,0.02208610425107953,114
298,2him,-0.014307630505634843,1
299,;,-0.014534436802915138,47
300,follow,0.06267869876520327,49
301,beginning,-0.02687995780222364,4
302,his,0.006370552745433029,95
303,belong,0.003326778643854292,2
304,~ps.111:10,-0.014307630505634843,1
305,wisdom,-0.018604660671252778,7
306,t,-0.02134909342439247,13
307,precepts,-0.014307630505634843,1
308,tmrw,-0.028260369757359776,4
309,3,-0.03476504706656265,53
310,sarcasm,-0.038250207824281166,8
311,an,0.011580597229367853,163
312,easy,-0.021612712371515373,7
313,classes,-0.022053180775048812,8
314,chem,-0.0229540198532962,3
315,causee,-0.014307630505634841,1
316,though,0.021089916027457786,31
317,classesss,-0.014307630505634841,1
318,only,-0.039225644199682407,81
319,us,-0.019704783009749996,66
320,some,-0.009781410529404557,110
321,fucking,-0.022023780934448938,32
322,sitting,-0.018587625371339272,24
323,loud,-0.0077733048523418126,9
324,speaks,0.008277419334022965,2
325,stranger,-0.0013460852244384976,2
326,whore,-0.0009431226895153177,3
327,she,0.09118919856827662,141
328,fear,-0.07164207239723723,52
329,looks,-0.01290502723448686,18
330,scare,-0.01104899606347618,3
331,nor,-0.012285021681723667,5
332,them,0.0213047959781877,108
333,threats,-0.014307630505634841,1
334,delayed,-0.02625329364546028,7
335,train,-0.0038827303215096783,10
336,ill,0.007991739598465955,23
337,again,-0.00605396183604467,66
338,taken,-0.031557331126449525,10
339,till,0.0015276761174160946,31
340,did,0.09490787266673424,163
341,where,-0.0019945203920616024,53
342,tickets,-0.0065644611358103636,8
343,@csssuxxx,-0.014307630505634843,1
344,those,-0.0536931206753736,40
345,apocalypse,0.005415992962804752,2
346,hope,0.034560108132257204,56
347,gold,0.014844098574549151,3
348,altogether,-0.024687860435749855,3
349,removed,-0.014307630505634841,1
350,d'8,-0.014307630505634841,1
351,guilds,-0.014307630505634841,1
352,hmm,0.02783705088201353,9
353,mine,0.012837925143722555,14
354,cancel,-0.028450565681456253,4
355,@dardenitaaa,-0.014307630505634841,1
356,crass,-0.0201661875484052,2
357,ca,-0.0032810413755266837,151
358,terrorists,-0.0201661875484052,2
359,look,-0.010622414252378934,66
360,protests,-0.0201661875484052,2
361,serious,-0.02458864656461762,3
362,already,0.018852894018645212,38
363,joke,0.00038333877659785806,10
364,make,0.01164215130540758,117
365,occasional,-0.0201661875484052,2
366,sexual,-0.02472144250862809,3
367,sigh,-0.012378011241863962,3
368,freaked,-0.016715822369190357,4
369,entire,0.013250708473446587,13
370,rest,-0.028042220153366382,19
371,overcomes,-0.014307630505634843,1
372,unnecessarily,-0.014307630505634843,1
373,gratitude,-0.024411907385470534,3
374,maelstrom,-0.014307630505634843,1
375,sometimes,0.01167591918591329,17
376,hard,-0.02795576321060654,31
377,fuckn,-0.020166187548405205,2
378,everyone,0.009256024910453572,40
379,suck,-0.024387394868512442,7
380,balls,0.004494117113399511,4
381,changes,-0.011269125095926117,4
382,em,-0.010439634741116926,8
383,big,0.047568131238463124,47
384,.....,-0.009848560312958856,32
385,changed,-0.008145524377257973,7
386,alarm,-0.012832477154052092,8
387,were,0.0206875347215784,56
388,clock,-0.014307630505634841,1
389,accidentally,0.0020746282886804383,3
390,deny,-0.019197272645240078,2
391,single,-0.04791031087641577,12
392,every,-0.03902011569447258,57
393,word,-0.013302582330260894,25
394,ever,-0.018181222823014938,64
395,movie,0.018720068562593097,23
396,@cassengineer,-0.014307630505634843,1
397,favourite,-0.013760008735867234,4
398,working,-0.02230966195612444,34
399,die,-0.04179791129618216,14
400,message,0.015612935111693763,8
401,arms,-0.012493803372191891,5
402,security,0.01135660464655804,4
403,subjectively,-0.014307630505634843,1
404,usually,0.005861599600832042,9
405,into,0.022287652092831366,76
406,failure,-0.02827073662966507,4
407,never,-0.0022293983486264433,88
408,fearing,-0.020222245687287352,2
409,drives,-0.014307630505634843,1
410,stance,-0.017035348493217268,2
411,what,0.04319179845645564,238
412,talk,-0.008189140002006889,29
413,explaining,-0.014307630505634841,1
414,long,-0.035422535172135505,39
415,why,-0.04041709399590707,70
416,defending,-0.014307630505634841,1
417,:),0.0694219029281735,158
418,had,0.03483047871430822,121
419,worth,-0.02097163780965148,14
420,proud,0.012567821640959213,10
421,believe,-0.027183416635917446,29
422,makes,-0.02011788723413173,37
423,food,-0.002650908598597083,28
424,eats,-0.014307630505634843,1
425,overs,0.006402766763296069,4
426,left,-0.001283151665750392,61
427,possibly,-0.004371284872384796,5
428,has,-0.012706884341325577,134
429,toddler,-0.01978104965301637,2
430,spurt,-0.014307630505634841,1
431,growth,-0.011017500484895408,3
432,v,0.00899313147935669,3
433,tired,-0.0483804977773952,24
