,Word,Value,Freq
8859,deleted,-1.1350816134711879,1
9216,"horrible""",-0.9229845808819919,1
14917,breaker,-0.7744858812695367,1
10403,cheated,-0.6848964688937387,4
11756,paranoid,-0.6045297735156782,2
10417,fragments,-0.5239158551509564,1
15397,"awful,",-0.5012934237269726,1
10539,offensive,-0.43999448405705716,7
13473,slimed,-0.4341447569549987,1
7777,starred,-0.43218589041036826,1
897,disappointing,-0.41166519543026653,48
6648,prey,-0.3826773893758816,4
2350,worst,-0.3800404628366104,66
10538,ghastly,-0.3659008964407359,1
20962,"ok.,but",-0.3626886032973907,1
7664,aggressive,-0.3620568257074931,4
11411,tame,-0.35474309635711493,3
7551,cancelled,-0.34421562275038714,8
2360,headline,-0.34114129126119525,1
16586,resent,-0.33550474039005196,1
9993,defeat,-0.3343164048014299,2
12536,vague,-0.3320368199430482,1
11035,this-,-0.32984386035849617,1
17670,unclear,-0.32812212580560884,1
1986,misleading,-0.3136398485261449,21
21128,upsetting,-0.30008358464350904,1
19005,/>horrible,-0.29840575088358895,1
2494,poorly,-0.28617463041975416,12
5346,rant,-0.283376161792576,1
2135,terrible,-0.2784977002261646,73
18222,shrugs,-0.27237408737723207,1
1738,dead,-0.26508302261483085,14
19520,setbacks,-0.2643998526613599,1
2156,horrible,-0.2642827915113201,84
4412,horribly,-0.26015658625388616,5
16845,promising,-0.2596448491503759,2
7598,ruined,-0.2508620090001659,8
5444,/>ding,-0.24883423762123424,1
16148,pathetic,-0.24837434866763533,1
12222,horrifically,-0.2420840101958077,1
472,disappointed,-0.23672147681075095,220
19865,destroy,-0.23665911199519277,1
19624,confused-,-0.23573146914490412,1
8534,resulted,-0.23248530119637487,3
12912,overview,-0.2290830404502712,1
7805,scorched,-0.22880519815727418,2
18459,small!!!the,-0.22845064477586283,1
1963,awful,-0.22239531812771904,62
5407,criticism,-0.22183949491886426,3
17483,unedible,-0.21631545787185152,2
18622,repulsive,-0.2140567503147377,2
4911,baffled,-0.21317503490681564,1
8041,cannot,-0.21160646096277963,2
4587,lame,-0.2094527303212344,4
12368,bugged,-0.2063573258704362,2
4591,nastiest,-0.20589171917343765,3
16236,/>edited,-0.20528004717353035,1
21144,puked,-0.20295456187448102,1
10691,deceitful,-0.20182225463431944,1
13877,unethical,-0.19868593086334627,1
8916,yep,-0.19436181197429447,2
7936,yellowish,-0.19298153512491423,2
19818,unpopular,-0.19139134908753128,1
17700,horrifying,-0.19068148640971416,1
14773,disappointing.<br,-0.18983854777135414,3
14578,failed,-0.18955821410416349,7
11269,objectively,-0.1889951777795892,1
5576,deceiving,-0.18646061593602048,2
12062,tackle,-0.1808849465165851,1
19880,nevling,-0.1808516757355796,1
17829,electing,-0.1768503757691095,1
11582,rash,-0.17546292811341618,4
3184,premise,-0.17513524776413325,1
14856,sickened,-0.17435361799961163,1
4316,confusing,-0.174328505202445,7
2466,annoying,-0.17241124297993282,17
7615,wrinkled,-0.17049457297077608,4
16345,projectile,-0.17045368592980184,1
3524,disappointment,-0.17043893882482242,42
15727,targeting,-0.1684448037068442,2
8096,leaked,-0.16824113456063408,12
3008,defeats,-0.1681436926132629,4
2569,canceled,-0.16487218552027688,7
6498,lied,-0.16286840635471317,2
14189,fart,-0.16233680700681774,1
4698,throws,-0.16112877270723094,4
5958,obligated,-0.1603639530774222,1
8355,irritating,-0.15853322845979215,5
8715,loser.<br,-0.15800129949768998,1
11729,ron,-0.1555709306076299,1
18557,minct,-0.1551887840786058,1
17586,yuck.<br,-0.15374937548351864,1
10296,detrimental,-0.15333775610318714,3
11160,/>won't,-0.15331782746717398,1
4544,throwing,-0.153248264236249,29
10128,void,-0.15323561694436078,5
12465,fleeting,-0.15231122929593707,1
14203,disclosure,-0.1519207867964819,2
11476,fleeting.<br,-0.15175875351612264,1
13450,damaged.<br,-0.15067638892219332,2
1190,weak,-0.14798289646773344,154
18226,defense,-0.14643001305026812,1
10111,unacceptable,-0.14550814915257276,5
16016,lands,-0.144883578506813,1
14609,pry,-0.14479545545132422,1
1988,false,-0.14441029865532862,7
16127,ed,-0.1440750649509903,3
11827,manager,-0.14389623352975744,5
7244,awarding,-0.14375129549101545,1
19166,/>blew,-0.14279166371734053,1
17328,interpreter,-0.1420421153752187,1
19890,gunking,-0.14163967048913073,1
17647,executed,-0.14150942310997086,1
5545,delayed,-0.1403295736353627,1
8747,tiring,-0.1400054778527248,1
4151,neither,-0.13787506847073805,27
10892,doorstep.<br,-0.1377773315511748,1
