,Word,Value,Freq
14177,flawed,-4.952287084916058,17
10109,brittle,-4.746433258056641,1
15943,stink,-4.3456830978393555,16
12570,livid,-3.823065996170044,1
7956,reeks,-3.122546831766764,1
7210,crammed,-2.509682297706604,1
6967,irritating,-2.37702676653862,24
11540,shabby,-2.321627676486969,1
14345,furious,-2.0496785640716553,1
16104,unfair,-1.9608269929885864,1
16271,slighty,-1.7999961972236633,1
6059,hill!unfortunately,-1.457947015762329,5
3927,regret,-1.3853424276624406,49
12738,frustrating!i,-1.2688357830047607,1
4314,sturdily,-1.205517401297887,4
10602,invalid,-1.1788208484649658,1
6675,falsely,-1.099628210067749,1
15420,slumped,-1.0706472396850586,1
16050,lied,-0.9904688000679016,1
7951,grossly,-0.9351916909217834,1
11061,unreal,-0.9304212927818298,1
7732,struggled,-0.9203138649463654,4
8013,loses,-0.9174300299750434,36
1486,occurrence,-0.911872148513794,1
816,wobbly,-0.9014864087104797,5
4779,outlandish,-0.8773319959640503,10
10073,shattered,-0.8404979705810547,1
9159,unwieldy,-0.8146791954835256,3
8511,costing,-0.7930938005447388,1
5176,fickle,-0.7904966473579407,1
16064,upsetting,-0.7427951693534851,1
2176,careening,-0.7324838042259216,1
13481,ouch,-0.7272038087248802,16
9783,discontinued,-0.7213624715805054,3
13997,"buy"".secondly",-0.7210167646408081,1
6439,sharing,-0.6850685165041969,21
8644,dolts,-0.6683335304260254,9
15315,fray,-0.6526618003845215,1
8602,bother!other,-0.6388476689656576,1
9066,recommmend,-0.6252490878105164,2
11879,squealing,-0.612053394317627,1
3828,zero,-0.6025451251438686,7
15625,most!trouble,-0.592597762743632,1
13184,disruption,-0.5613301992416382,1
2115,screwed,-0.557762861251831,2
2867,disappointment,-0.5418001674115658,160
6782,value!!add,-0.5405004024505615,1
11928,shoddy,-0.53836849156548,17
5416,caps,-0.5364408850669861,5
15293,grace,-0.5344173312187195,1
6187,valves,-0.5243300199508667,1
12997,fascinates,-0.5196210543314616,1
5539,34;too,-0.5182285308837891,2
6688,playhouse,-0.51114981174469,20
10232,shapestill,-0.5036982297897339,12
15270,goner,-0.47758835554122925,1
3519,poor,-0.4761888160907402,189
4676,blame,-0.4688044786453247,3
1791,lousy,-0.46367788314819336,21
16010,cheap!&#34,-0.4605907440185547,1
10529,collapsed,-0.4572911262512207,2
14422,unuseable,-0.45546700557072956,1
1103,poorly,-0.45367787033319473,184
7113,lame,-0.451505184173584,3
12682,wrinkles,-0.4344117045402527,1
3987,cumbersome,-0.4293030500411987,3
10316,suffed,-0.4180683493614197,1
10304,inconvenience,-0.4169865921139717,2
2488,address,-0.41644994417826336,3
10784,macabre,-0.41586955388387037,12
11573,precautions,-0.4095029830932617,1
672,boring,-0.4092506777058851,222
1477,abused,-0.40541467666625974,5
6192,"55""",-0.4005546569824219,1
15744,consumer,-0.3941690921783447,16
12718,freak,-0.3930743932723999,2
13397,smoked,-0.3923652172088623,1
5640,rubbish,-0.39175586951406377,19
15935,repairable,-0.3908500671386719,17
11469,sloppy,-0.3903701901435852,2
4886,developments,-0.38871073722839355,1
8454,lacks,-0.38016590705284703,13
15124,crumbled,-0.3794302741686503,1
9577,morbid,-0.37889933586120605,1
16446,dank,-0.3762500286102295,1
9818,soometimes,-0.37579674273729324,1
11333,creasing,-0.37403027216593426,1
10124,slim,-0.3672305742899577,3
6185,bottom2,-0.3670663833618164,1
14298,radical,-0.36435961723327637,1
7611,12-months,-0.3623713006575902,16
5232,remembered,-0.3613654741874108,39
6463,fails,-0.36003453500809207,31
10883,transfer,-0.3545721769332886,12
7721,firstly,-0.3488611380259196,3
8172,venom,-0.348325252532959,1
15808,gypsy,-0.34689807891845703,1
10927,quivered,-0.3455543518066406,1
7684,sail,-0.34498071670532227,1
7398,playmat,-0.3431987762451172,12
7612,3-years,-0.3415838269626393,17
5642,presumed,-0.3405890464782715,9
11304,derails,-0.3395212093989054,2
7996,copies,-0.3365405003229777,6
1987,jealous,-0.336117148399353,2
8505,slept,-0.330696702003479,3
13018,ruins,-0.3293132781982422,1
6944,annoys,-0.32910752296447754,2
3545,ruined,-0.3256749709447225,30
5092,deter,-0.324676513671875,3
2405,angle,-0.32405593395233157,20
8763,equipped,-0.3237285614013672,12
647,missing,-0.32286547727821285,121
13903,indispensible,-0.31714028120040894,1
4680,manufactures,-0.3160064220428467,1
5295,unforunately,-0.3122467041015625,1
10071,straps,-0.31113690915315045,23
2669,steal,-0.3055718243122101,12
3934,death,-0.3012717299991184,9
2997,alas,-0.3005614042282104,5
4740,dislike,-0.2981551826000214,20
12567,jams,-0.29530322551727295,1
7535,quizzed,-0.28953590989112854,1
6466,forgotten,-0.2864522567162147,13
3729,suspicion,-0.28618574142456055,1
8900,"later:""ok",-0.2861006557941437,1
16108,bites,-0.2852771282196045,2
2172,envisioned,-0.2844385504722595,1
10090,blur,-0.2819521427154541,1
6895,negatives,-0.2810045862197876,25
12699,receipts,-0.27932049546922955,14
11568,goin,-0.27842235565185547,1
7053,delirious,-0.2768351236979167,1
2227,waste,-0.27679000649414465,379
11034,bleeding,-0.2760305404663086,13
10923,hunkered,-0.26963911453882855,1
9154,agains,-0.2696104645729065,1
13493,ticking,-0.26623907685279846,4
10562,lackluster,-0.2660142183303833,18
11569,headache,-0.26379096508026123,2
12058,pathetic,-0.2636758770261492,14
13758,baught,-0.2610965669155121,2
1016,inescapable,-0.260501503944397,1
13569,ug,-0.25971096754074097,1
8514,gamesmaster,-0.2593338191509247,1
9954,obtaining,-0.25657787919044495,1
14518,inevitable,-0.2559788227081299,1
15336,eek,-0.25535130500793457,1
14778,lacked,-0.2547576427459717,1
4039,image,-0.2542368065227162,11
13696,differ,-0.254043772816658,2
16273,spit,-0.2531774044036865,1
7133,enforces,-0.2528725266456604,1
5442,redundant,-0.2515009641647339,2
16011,34;we,-0.251144011815389,1
8933,tigger,-0.24984927972157797,3
10206,wasted,-0.24867776606945283,47
4353,nose!i,-0.24738669395446777,9
6768,fun-,-0.24422266085942587,3
6494,burped,-0.24362945556640625,13
14848,foul,-0.24345827102661133,9
3435,deserved,-0.24329876899719238,1
7287,realistic&#34,-0.24225890636444092,1
9439,nightmare,-0.24003296739914837,34
4114,lesser,-0.23934551080067953,3
5516,chews,-0.2386582096417745,6
6440,again--,-0.23671873410542807,1
6826,drawbacks,-0.23480909665425617,15
7897,frustratingly,-0.23302066326141357,2
10931,1971,-0.23116379976272583,1
8094,riddle,-0.23111581802368164,1
15584,calmer,-0.22966164350509644,1
6027,sucker,-0.2295626163482666,5
7072,disappointing,-0.2290088442427602,201
12885,wiggling,-0.2282411754131317,2
16476,remarks,-0.22737431526184082,1
6534,offspring,-0.22705554962158203,1
4249,conceit,-0.2263400952021281,4
7395,heap,-0.22389042377471924,12
11854,grandfather,-0.22286617755889893,2
5887,cheapest,-0.22081782315906726,38
2044,thinks,-0.21881978652056525,34
7937,laughable,-0.21662354469299316,12
2505,tedious,-0.21650259779847186,46
14105,apologized,-0.21610426902770996,1
12340,34;reluctant,-0.21359697977701822,16
1255,useless,-0.21321062170542204,104
3349,molded,-0.21276146173477173,16
11885,puzzling,-0.21169918775558472,2
2432,quit,-0.2110992792774649,34
2643,assure,-0.2089789628982544,5
6202,wider,-0.2071239153544108,3
11739,concot,-0.20710062980651855,1
5383,swipe,-0.20568390935659409,16
11835,file,-0.2054746150970459,1
9614,criticism,-0.20463493466377258,4
3959,re)designed,-0.20432035128275552,1
16009,illness,-0.20321965217590332,1
9476,basin,-0.20112323760986328,30
8708,struggling,-0.20105649530887604,16
13125,florence,-0.20064234733581543,1
6779,decline,-0.20003485679626465,2
7336,reluctant,-0.19997977126728406,22
3104,savvy,-0.1977680673201879,4
9195,weaker,-0.19605612754821777,1
11309,son.my,-0.19600995381673178,1
11563,deny,-0.19547510147094727,1
5926,irritated,-0.19498484475272043,14
11496,splurge,-0.19487598207261828,18
9272,hyper,-0.19454729557037354,4
15100,backboard,-0.19120919207731882,3
6054,receipt,-0.18887523600929662,19
13591,thereweren't,-0.18808796405792236,1
6049,raise,-0.18805783987045288,8
3714,lens,-0.18804073333740234,10
8612,fraud,-0.186842679977417,1
11613,11-year,-0.18633623917897543,1
2950,plopping,-0.18535947799682617,16
13469,inexplicable,-0.18517303466796875,1
6490,mike,-0.18460025638341904,32
10384,refuse,-0.183447003364563,2
16272,piers,-0.183060884475708,1
11570,skeptic,-0.18281976381937662,1
1358,spending,-0.18249716460704804,40
12412,spun,-0.18008220195770264,2
2229,fancy,-0.17851688464482626,18
15945,salon,-0.17797043744255514,17
7764,dumb,-0.17733830213546753,16
8721,pointless,-0.1769808348962816,59
3298,defect,-0.1767395536104838,6
6755,misleading,-0.1754396701681203,58
10881,sigh,-0.1739177107810974,4
3933,drove,-0.1726103574037552,4
16055,sopend,-0.1723698377609253,1
1446,disappointed,-0.1723319239086575,585
10905,destructable,-0.1695543328921,1
15138,spektrum,-0.16939210891723633,10
11320,picturing,-0.16842949390411377,1
8485,"yourself"".there",-0.16650390625,1
5790,attacked,-0.16608816385269165,3
831,buzzard,-0.16608664393424988,2
2128,barely,-0.16586113280506545,186
3513,intimidate,-0.16450811425844827,2
8326,annoyed,-0.1636517328374526,17
1637,aesthetically,-0.1631077527999878,2
13700,indirect,-0.16227585077285767,1
9114,sympathy,-0.16185474395751953,1
369,cruel,-0.16178715229034424,2
12273,sore,-0.16126883029937744,2
1124,unfortunately,-0.16076982962457756,152
8001,welded,-0.15908050537109375,1
9285,topple,-0.1587713078448647,19
2230,confuse,-0.1582019329071045,2
5428,doubts,-0.15785789489746094,2
6082,answered,-0.15751802921295166,2
9777,relegated,-0.15694934129714966,2
3985,detracted,-0.15680487950642905,1
15590,dontt,-0.15645039081573486,1
4688,phrases,-0.15620332956314087,20
1755,rid,-0.15480022903146415,58
7690,pumps,-0.15458747744560242,2
11334,impatience,-0.1543508768081665,3
12012,wreck,-0.1540437936782837,2
