,Word,Value,Freq
8473,stink,-1.8680866850522249,1
14579,incompatible,-1.2018359285536826,1
12144,inadequate,-0.9903534624011909,1
15196,negatively,-0.837269779303032,2
13105,stunned,-0.7774202014074865,1
10765,flawed,-0.6664760739017129,3
7362,rubbish,-0.605419654727324,2
7350,discontinued,-0.5771218836307526,2
8680,decreased,-0.5653746428586754,2
13698,hurled,-0.529520788422802,1
18240,scam,-0.43442820480509337,2
17991,weirdest,-0.4250458977571348,1
2319,dysfunctional,-0.4108528821284293,1
14484,utter,-0.41021059685513706,2
6344,sucks,-0.4077006121056998,7
17583,waning,-0.3609738930655454,1
19679,hill!unfortunately,-0.359775908503612,1
10258,fried,-0.34119429918075006,1
14779,decimated,-0.31468465773955073,2
3282,disappointing,-0.3081821087447963,33
19333,tragic,-0.30123208879674324,1
3398,annoyed,-0.2902767052552409,10
7466,bummed,-0.28850434251645557,2
2631,theoretically,-0.2837835808967546,2
9827,dissatisfied,-0.2798680879615835,2
5059,awful,-0.2708330902827679,20
12108,spoiled,-0.2689413227044142,1
9176,falsely,-0.2687000786846785,2
14242,problem-,-0.2616821664504772,1
18800,handicapping,-0.25950976587590535,1
12426,upto,-0.2576392310569977,1
553,messed,-0.25629728408682617,7
14889,lousy,-0.24759175730168748,3
548,defective,-0.24698308934320573,14
4047,disappointment,-0.2440080044752349,30
9112,ruined,-0.24326964426105116,8
17280,ambiguous,-0.23112502775209787,3
7186,compromised,-0.22871263060049485,4
18012,deflates,-0.2282247865612889,1
14969,emptied,-0.2273041276018511,2
1079,occuply,-0.2266512168425378,1
14714,mind.should,-0.22191397827110973,1
12804,stupor,-0.216011388009751,1
6701,worthless,-0.21461608316125677,4
8593,quirkle.--not,-0.20166791817051521,1
2817,poorly,-0.19715089611247621,30
8812,pales,-0.19652484860190408,3
13868,pup,-0.1946936302668565,1
14537,but:*is,-0.19261939284574334,1
12109,rotten,-0.18791455149400527,2
3500,waste,-0.1759565955132512,51
10396,disagree,-0.1747727035093151,6
7349,database,-0.1720111648241679,1
8623,heap,-0.16943396106933142,4
6641,melodies,-0.1673366969343833,1
3021,bad2,-0.16280553233079953,1
