,Word,Value,Freq
22448,î,-2.6990252023234085,1
14970,initiation,-1.8058990945783475,1
22901,forwards,-1.7735467392121194,1
15689,devotion,-1.712916132594858,1
23141,naã¯ve,-1.6824112941742575,1
10201,lt,-1.6548293834807826,3
16062,transportation,-1.6321688244740167,1
23167,fiesta,-1.589682199060917,1
12825,jennings,-1.5488884955644608,1
20083,torch,-1.5476855451797509,1
16690,financially,-1.535739072532087,1
10136,yarn,-1.4054797600387618,1
21700,pleasures,-1.380931018939928,1
20000,hamlet,-1.3576791690106975,1
1224,expectation,-1.305043525993824,1
7688,cheers,-1.2799769327579844,5
16667,counseling,-1.2189332505067187,1
5834,whisky,-1.207411419953022,1
21311,poker,-1.1982806139315167,1
17616,splitting,-1.1967894482943746,1
22570,simplicity,-1.1858067273472748,2
4796,frightening,-1.159856451909184,15
17133,bombay,-1.1507153552439477,1
7631,connie,-1.1361017789691688,1
21751,arbor,-1.1306214928627014,1
14324,seth,-1.1267060488462448,1
13162,invites,-1.1232467183754558,1
6410,labor,-1.1187431006095347,1
22287,spontaneous,-1.117748300818836,1
13387,shuttleride,-1.1136016412638128,1
10360,boating,-1.1089211501595047,1
15581,lacrosse,-1.1020855903625488,1
18944,homer,-1.0882525194044175,1
4036,hiya,-1.0867446319810274,1
5561,rays,-1.0859481217534421,1
12027,17th,-1.0828926113744577,1
16097,mosquito,-1.0781882011464665,1
10733,divine,-1.072579032757009,2
16849,cooper,-1.0675639236966767,1
22228,approaches,-1.0657045866052308,1
3619,outlook,-1.0578848385301076,1
2248,kennedy,-1.0559853610065248,1
11348,renewed,-1.0541405185436208,1
576,relief,-1.0523157030110735,10
9861,topless,-1.0516718737781048,1
12028,drifting,-1.036859462877103,2
15375,optimistic,-1.0367884532763407,1
5982,bows,-1.032296746969223,1
16995,peas,-1.0286021500825882,1
5976,undergraduate,-1.0260282924073143,2
10935,hugs,-1.0253916710214588,3
12464,finest,-1.0177649597326914,2
22716,daring,-1.0156306443044119,1
23295,indie,-1.0146386573379416,1
13533,merchant,-1.0118441333129904,1
21270,applause,-1.0080722339210972,2
14018,tent,-1.0069031682916179,1
22910,poke,-1.0048580601373138,1
1147,fearless,-1.0033751512461506,6
19204,evelyn,-0.993196265255673,1
8624,adventures,-0.9764310969976049,1
13835,cindy,-0.9683624379336834,1
22226,vulnerable,-0.9636050638827411,1
1043,responsibility,-0.9605657756328583,1
8243,helpin,-0.959643763055404,1
21958,clap,-0.9591107422397251,1
11522,louie,-0.9482335349130961,1
18363,nickelodeon,-0.9427166890818626,1
10589,~george,-0.9396888580587175,1
3511,gma,-0.9362292573111495,4
13129,candidate,-0.935829868533236,1
8958,excerpt,-0.9349112524559684,1
21216,westbound,-0.9313546436632716,1
10510,gasp,-0.9311212524203696,2
7014,giggled,-0.9272212831510438,1
21776,noticing,-0.9267766076539244,1
3637,surprises,-0.9152205222702994,7
22169,today/,-0.914596716562907,1
10586,roberta,-0.9110181615620419,8
9092,happyyy,-0.9074016731036337,1
7331,inaugural,-0.9043661980674818,1
1799,soulfully,-0.901974988208321,1
8534,luxury,-0.9013558432459832,1
12646,designing,-0.9001627469228374,1
22035,jessica,-0.8946209537762183,1
6513,joy!,-0.8919090147189965,1
12555,bonding,-0.8916729059560793,2
4694,awareness,-0.8878488593542551,16
21575,laughed,-0.8876447983618294,1
23091,darrell,-0.8872915059029309,1
18294,morework,-0.8870183556687599,1
17447,smilee,-0.8866729724797465,1
7670,sacked,-0.8828849043283198,1
14347,103,-0.8816322947249692,1
5896,youngsters,-0.8782902391893523,1
14923,winfrey,-0.8754043699978115,1
5183,visitors,-0.8656745922441285,1
16926,scraping,-0.8640584655106067,1
8103,blindness,-0.8608392418477855,1
12737,outstanding,-0.8594531532790926,1
15912,handwriting,-0.859083038837765,1
3349,hubbard,-0.8557425787051519,3
13418,optimism,-0.853779948718521,3
22678,inheritance,-0.8528011437682878,1
13139,imagination,-0.8488994071481569,4
16436,nfc,-0.8362220090206816,1
13288,530,-0.8358293734942422,3
6187,mesa,-0.8342669453000886,1
8810,._.,-0.8321024943569225,3
21012,tod,-0.8308945054809254,1
11030,amir,-0.8282355962528123,1
2564,dawn,-0.827200005978102,12
18778,healing,-0.8161380694987405,1
17647,ev,-0.8133182466031826,2
18309,martini,-0.812504993521032,1
2832,vol,-0.8112652797500293,1
12571,realities,-0.8099137689829582,1
13932,festivities,-0.8089844832817713,1
20240,addict,-0.8070309365337545,1
18092,willy,-0.8067467205169977,2
14206,lazyday,-0.8065927452765979,1
5790,-martha,-0.8059622962914761,4
12334,millionaire,-0.8056102537860474,1
22684,solemn,-0.8023742437362671,1
11422,wah,-0.8020954904231158,1
13974,christmasshopping,-0.8009510032300438,1
18605,wits,-0.7991967840283587,1
443,70th,-0.7988446726201675,1
7378,glorious,-0.7986242861910843,2
13824,chocolate~,-0.7978768845399221,1
4009,crown,-0.7932982722892896,5
11367,dessert,-0.7908039256135095,4
22325,trinity,-0.7893925318442265,1
603,surprise,-0.7892513658181273,121
22875,upland,-0.7872249835895166,1
18859,staggered,-0.7861083205207251,1
11885,calvin,-0.7857991189686765,1
13664,nhs,-0.784738148190081,1
14511,braid,-0.7832365608783532,3
5917,fatima,-0.782559947815131,1
2445,improves,-0.7818959947675466,1
7791,gahh,-0.7763590869028121,1
21222,waist,-0.7761607550462519,1
20901,edinburgh,-0.7752155553592347,1
11064,mina,-0.7751310298785622,1
18923,hopeyoulikeit,-0.7751085544625917,1
10027,anythings,-0.7731541507878636,1
1965,delays,-0.7731487283185772,16
4423,camping,-0.7730170222695247,2
22697,performances,-0.7725062830881639,1
5388,sunshine,-0.772386522005925,11
11752,hopes,-0.7723438063474014,4
10692,greet,-0.7719544370330516,1
15671,relieved,-0.7707459370720272,2
19835,med,-0.7706947544533195,1
1375,badminton,-0.7701143297629478,1
13624,thrilled,-0.7670590424236567,6
407,laz,-0.7667527447896774,1
19246,o!god,-0.7658757172795859,1
10154,winners,-0.764945951303378,2
14587,welcomeback,-0.7639144061292921,1
3642,boardwalkempire,-0.7634599138324228,1
18028,otter,-0.7618599474430083,1
14959,funsight,-0.7611807271987574,1
3578,so.excited,-0.7607499119874678,1
19839,hike,-0.7602649480104446,1
13898,215,-0.7587505553030609,1
10504,maggie,-0.7568467615970543,1
19446,courtney,-0.7564188020112803,1
8726,pope,-0.756192454735817,2
21121,skipping,-0.755658070743084,1
7844,helloagain,-0.754444685857743,1
1416,england,-0.7543596121305887,15
14613,sm,-0.7508862888550057,1
20139,cosmetic,-0.7493370279669762,1
17868,livefree,-0.7478537368377778,1
10633,treasure,-0.7457092362718705,2
16930,malcolm,-0.7452990230586793,1
20754,derry,-0.7433061511679129,1
22975,sundays,-0.7408149684468905,1
17638,dreamstream,-0.7408066260536293,1
11924,happyplace,-0.7403446778655053,1
19354,rainbow,-0.7391279769716997,2
12192,joyness,-0.7383422308428758,2
12668,thankfulforwine,-0.7382750728358634,1
8721,observe,-0.7378294731800755,2
19699,hustle,-0.7370330265590123,1
18624,intel,-0.7365601086019173,1
18457,sequel,-0.7363796659152615,1
14169,snowfall,-0.735880878727351,2
1810,backseat,-0.7351968449850879,1
15108,exploded,-0.7336819977851725,1
16465,accomplishment,-0.7335710400165546,1
11370,jackie,-0.7325642844879783,2
14654,tastes,-0.7316474344553667,4
23182,jive,-0.7311711070918235,1
16824,skiing,-0.7269470579277127,1
8964,paulo,-0.725767606897996,1
20970,randy,-0.7256549388894604,2
21678,roland,-0.7253841528334678,1
10429,frowning,-0.7244718602725437,1
6915,~bill,-0.7242564842104912,1
1300,intimidating,-0.7238164435001626,1
4932,refreshing,-0.7226914869212544,2
21766,rally,-0.7226230034900326,3
17631,fame,-0.7212466175958036,2
4775,pam,-0.7205598194581957,1
16226,entertainment,-0.7197579180736556,2
3806,clapping,-0.7193238097559086,1
20949,philip,-0.7192252347608665,1
3168,buddha,-0.719161476690367,8
23346,iquit,-0.7164230062496482,1
3441,sickness,-0.7163774670981119,7
18487,atlantic,-0.7136448657228833,1
17572,dora,-0.7131168988461678,1
9622,vomiting,-0.7131076825884255,1
2572,dentist,-0.7123699825166366,20
6926,barley,-0.7111712545156479,1
17573,spaghettios,-0.7110782113785927,1
418,bye,-0.7097318198973287,28
16716,cuter,-0.7094585484425937,1
21301,shirley,-0.7092400048083316,1
19798,abe,-0.7087649358859793,1
15278,gag,-0.7085337567453582,1
19199,salesman,-0.7039305300141374,1
9511,fonts,-0.7035828047328525,1
3104,goofy,-0.7031682334983577,2
11739,ecuador,-0.7030550444861512,2
10667,heartbroken,-0.7024649599798365,2
19503,poverty,-0.701225821956953,3
22710,asthma,-0.7011068183928728,1
15765,4o,-0.7000138005972201,1
9227,wednesdays,-0.6968319888124948,1
12118,exercises,-0.6941173517455658,1
15215,fvck,-0.6925285723474291,1
5398,impromptu,-0.6923106561104457,1
3605,8-),-0.6920478175438586,1
511,presents,-0.6915861496717232,45
3706,jolly,-0.6914130654285854,5
11898,grandparents,-0.6911754317754245,9
6186,darkest,-0.6906638134839491,2
7813,staircase,-0.6906437117857143,2
14468,prediction,-0.6897955675690726,1
12159,eagles,-0.6893975130385823,1
8656,koreans,-0.6879659420125236,1
16733,andre,-0.686356897140661,2
5455,certainty,-0.6863239702436474,1
10930,hunting,-0.6860609193233772,6
12604,astronomy,-0.6858202528208495,1
19101,riches,-0.6855178049269628,1
4925,roosevelt,-0.6852419256710198,21
4491,browns,-0.6852285974188627,3
16964,exiled,-0.6829586876024094,1
2676,ljubljana,-0.6820360879395522,1
22455,hc,-0.6814206657987654,1
19208,pictureee,-0.6812495718399683,1
851,dale,-0.680363607548532,1
19409,prepared!.,-0.6801332919448043,1
11716,ruth,-0.6800535598447404,2
18371,graced,-0.6799779255475317,1
17361,aquarius,-0.6798963437211656,1
18455,gage,-0.6797228020926317,1
13887,karl,-0.6787967395392203,1
7655,inspire,-0.6778428273060619,6
21292,entering,-0.6775542477002511,1
18499,joan,-0.6773865858713786,1
1520,cheered,-0.6765295111589016,1
6859,meets,-0.6756816601452127,2
13779,-merry,-0.674050390467611,1
3901,buddies,-0.6726514261038531,2
16555,pastry,-0.671442737430334,1
23016,husbands,-0.6714363133303479,1
14287,sweetness,-0.670997848516951,1
18037,abortion,-0.6702277075906604,1
10531,weights,-0.6698416873361126,1
11799,ross,-0.6691443281041252,1
11620,joseph,-0.6689442299381652,2
16882,lovemylife,-0.6686556997398535,1
10905,jean,-0.6682136343873065,1
15943,truestory,-0.6677382738950352,1
2464,42,-0.667451262374719,1
14271,lml,-0.6663076877593994,1
22767,julianna,-0.6657997780320694,1
12491,roses,-0.6641613120221562,3
22918,conclusions,-0.6636702264348666,1
7957,@hmusa,-0.6633138154943784,1
17209,teachin,-0.6630360802842511,1
2562,senses,-0.6619684287716474,1
12546,struggles,-0.6619674280629916,2
16006,guiding,-0.6602703610918036,1
15934,vibrant,-0.6599697217040582,2
4983,graduation,-0.6595593867325504,9
14172,mayor,-0.6592340252964812,1
21227,nows,-0.6592267346210204,1
726,thanksgiving,-0.6588289814103941,171
6028,adventure,-0.6570852319646745,3
10190,moons,-0.6566314013078322,1
16144,saas,-0.6564305365988703,1
21805,loveu,-0.6554201533397038,1
1457,scared,-0.654959379600315,99
3461,"nonsense,,i",-0.6549268944748382,1
11751,memorial,-0.65467292268097,1
10618,profound,-0.6543662817181124,1
