,Word,Value,Freq
16468,surgeon,-11.53738784790039,1
23153,dilemma,-11.145506858825684,1
6218,caring,-11.102421760559082,1
20090,threatened,-10.61866569519043,1
4745,tyres,-10.053634643554688,1
13118,justify,-10.040620803833008,1
21469,annabelle,-10.00212287902832,1
16824,skiing,-9.587639808654785,1
12533,sms,-9.54172134399414,1
7393,bitchin,-9.078256130218506,1
8976,genus,-9.007076263427734,1
18457,sequel,-8.998112678527832,1
20244,troll,-8.65369987487793,1
13040,belize,-8.647505760192871,1
22086,functioning,-8.51793384552002,1
19073,geese,-8.418319702148438,1
6490,nosedive,-8.357717990875244,1
7499,archie,-8.33009147644043,1
22327,crippled,-8.153884887695312,1
20065,decreased,-7.901972770690918,1
17935,patethic,-7.687789122263591,1
11133,ranks,-7.685001373291016,1
7331,inaugural,-7.549118995666504,1
11440,prohibit,-7.317558288574219,2
20631,foul,-7.013633728027344,1
17751,petty,-7.009515762329102,1
13490,directions,-6.911272048950195,1
15839,culture,-6.871862888336182,1
16427,buddhism,-6.840313911437988,1
19012,bowties,-6.838003873825073,1
6709,peanuts,-6.70985221862793,1
11138,needle,-6.559852123260498,1
8566,punishment,-6.500227332115173,2
7491,recruiting,-6.454480171203613,1
13614,army,-6.291849613189697,1
14102,10000th,-5.8574090003967285,1
8521,destroying,-5.69421911239624,2
18001,illegal,-5.691244125366211,1
9274,walnuts,-5.50663685798645,1
18562,vh1,-5.423431873321533,1
1150,jurassic,-5.418995380401611,1
20649,showin,-5.328580379486084,1
20247,dmed,-5.283634185791016,1
12923,responding,-5.2563676834106445,2
12261,bundling,-5.249877691268921,1
15274,lover,-5.204350709915161,2
22816,jazzed,-5.185842514038086,1
4382,50mill,-5.125765442848206,1
14642,ruining,-5.091628074645996,1
20066,dramatically,-5.053408622741699,1
6121,useless,-4.978484312693278,6
14027,conscience,-4.941687345504761,2
20939,effer,-4.923888325691223,1
15851,friendz,-4.881860375404358,1
18814,twerk,-4.855461120605469,1
3403,coal,-4.817248106002808,2
13535,talaga,-4.756479024887085,1
16223,jain,-4.739792346954346,1
22400,(hope,-4.7094420194625854,1
13269,headline,-4.6121275424957275,2
10143,offended,-4.50965142250061,2
11423,productivity,-4.430486440658569,2
9500,newburgh,-4.311036109924316,1
4646,terrifying,-4.31052827835083,4
6909,stabbed,-4.268136024475098,3
12763,#hate,-4.254120111465454,1
18922,breakk,-4.227231025695801,1
19913,îƒîœîšîˆ,-4.225270748138428,1
18393,nickname,-4.085779905319214,2
9103,preach,-4.0810441970825195,2
11995,relocate,-4.060183525085449,1
5995,heidi,-4.013859152793884,2
5517,nanny,-3.9984514713287354,2
1375,badminton,-3.9716062545776367,1
5853,hallway,-3.9584529399871826,2
22621,tedious,-3.9556095600128174,1
21771,retire,-3.911996841430664,2
17455,finishes,-3.9095044136047363,1
19829,ank,-3.893198013305664,1
19564,km,-3.851879119873047,2
13135,rotted,-3.843198537826538,1
21459,fracture,-3.8151590824127197,1
15322,rival,-3.7922604084014893,2
9946,generations,-3.7801437377929688,2
3937,numbered,-3.7559545834859214,3
21586,skeleton,-3.684375762939453,1
17083,despicable,-3.683315594991048,2
4770,opposites,-3.624253034591675,1
10961,kinder,-3.5968660513559976,3
18786,twelve,-3.594696044921875,1
13002,individuals,-3.5536305904388428,2
5348,mist,-3.5504658222198486,1
3108,surly,-3.5420031547546387,1
8153,irritable,-3.5216123263041177,1
11285,consumption,-3.519493818283081,2
16963,appraise,-3.481786092122396,1
8945,injury,-3.465806802113851,3
20697,pug,-3.4549789428710938,2
22817,estudiantes,-3.412008364995321,1
11076,deaths,-3.4092862606048584,2
11039,resi,-3.4027204513549805,2
481,litter,-3.3991007804870605,3
18816,twerking,-3.386444091796875,1
10681,homesick,-3.3831220865249634,2
12646,designing,-3.3755462169647217,1
1193,ripping,-3.3592856725056968,3
7521,lotion,-3.3395915031433105,1
15086,kaka,-3.311374068260193,1
6105,autism,-3.311176617940267,3
15087,accidently,-3.2967689037323,1
14878,executed,-3.247530698776245,1
1175,macro,-3.230088949203491,2
19807,lido,-3.208613395690918,2
6196,premises,-3.2042863368988037,1
20344,yarnz,-3.1742944717407227,1
16095,struggling,-3.139236847559611,3
3438,fever,-3.1049013435840607,8
9718,penny,-3.08831650018692,4
4396,bikeride,-3.087117910385132,1
19572,livinthedream,-3.0676349639892577,1
15147,covering,-3.0017895698547363,3
7192,painted,-2.996922254562378,2
7930,unsure,-2.989398717880249,1
8305,millennium,-2.9699460665384927,3
6825,gore,-2.9084084828694663,3
13420,exercise,-2.9026625951131186,3
18817,saysomethin,-2.8656634092330933,1
5676,hated,-2.8297010830470493,7
4977,disappeared,-2.8265950679779053,4
17692,betting,-2.8148112297058105,1
3684,edges,-2.8052940368652344,1
17777,liene,-2.7866971492767334,1
20108,neverbroke,-2.7757988770802817,1
21666,otthappiness,-2.679067611694336,1
4821,youngest,-2.678673505783081,2
10610,munters,-2.669604698816935,1
8810,._.,-2.5926588906182184,3
6766,spokesperson,-2.571096897125244,1
15019,phrases,-2.5631606578826904,1
22272,palin,-2.5405622720718384,1
5844,hv,-2.5386365056037903,4
23075,efo,-2.5325393676757812,1
19410,percent,-2.522329807281494,2
11497,slob,-2.504920721054077,3
13790,toward,-2.4981679916381836,2
1272,conditioning,-2.4921111822128297,5
10003,"3,000",-2.4869850476582847,1
7728,receiving,-2.469546675682068,4
17199,chickenpox,-2.430474321047465,1
14014,opposition,-2.4268975257873535,1
14217,dumped,-2.4240307807922363,1
21970,relays,-2.394716262817383,1
7413,everlast,-2.3927183945973716,1
11509,tillys,-2.3891857862472534,1
15112,scholarships,-2.3549606800079346,1
7871,fitness,-2.351816749572754,5
5605,dreamed,-2.347712198893229,3
7182,fled,-2.3429369926452637,1
7371,nevergoingback,-2.341118653615316,2
19063,iheartweed,-2.331376075744629,1
9782,facing,-2.326941967010498,3
20604,shakingmyfist,-2.3248080015182495,1
10456,ohwell,-2.316854238510132,3
5997,blocked,-2.2952460289001464,5
20000,hamlet,-2.285151958465576,1
19246,o!god,-2.282150665918986,1
5981,observing,-2.266584277153015,4
12889,rem,-2.2598378658294678,1
10242,bearable,-2.2594565749168396,2
5852,warming,-2.2549923261006675,3
15438,recieved,-2.2402937412261963,1
3260,option,-2.227574212210519,7
8406,cycle,-2.22352876663208,5
5601,uncertainty,-2.222610092163086,5
615,morrison,-2.2158633867899575,3
11485,@taydeath,-2.1711650788784027,1
2197,reminder,-2.170681635538737,6
1104,causes,-2.1528366088867186,5
10072,partytime,-2.1417397260665894,2
9304,crops,-2.134755849838257,1
14203,unsafe,-2.119256019592285,3
8520,discipline,-2.114676856994629,5
12243,clients,-2.096024513244629,2
10214,thirsty,-2.0855311155319214,4
9523,electric,-2.0853192806243896,1
1041,fck,-2.084298014640808,2
16056,arthritis,-2.072678327560425,1
6309,gospel,-2.0464952256944446,9
6585,traditions,-2.0281949043273926,2
21337,blocking,-1.9953229427337646,1
10426,cage,-1.9923744201660156,3
7627,@tiny_trauma,-1.9867953062057495,1
5886,spam,-1.9858203331629436,6
5522,directors,-1.9749972820281982,1
4221,elimination,-1.9742152690887451,1
2352,oblivion,-1.972428560256958,1
5477,clarkston,-1.9696506261825562,1
6807,boils,-1.9677977561950684,2
