,Word,Value,V.Mean.Sum
0,discouraged,-1.975293489956768e-05,3.18
1,torture,-1.8064621338929887e-05,1.4
2,suck,-1.7049506651508246e-05,3.71
3,envy,-1.6648932094030327e-05,3.05
4,barrage,-1.6532069734012205e-05,4.24
5,coating,-1.5035025242730407e-05,5.25
6,dreadful,-1.499114836241618e-05,2.6
7,prep,-1.4300995252958248e-05,5.29
8,warfare,-1.413962245848388e-05,3.14
9,mafia,-1.4030274048115743e-05,3.11
10,costume,-1.3952760933041061e-05,6.05
11,pastor,-1.3628409021444512e-05,5.35
12,appalled,-1.3612821132806078e-05,3.62
13,roe,-1.3335131678860837e-05,4.18
14,guilt,-1.324445431152843e-05,2.29
15,inflation,-1.3243984523507446e-05,2.91
16,slavery,-1.3179674007754438e-05,2.0
17,corpse,-1.308531513291115e-05,2.45
18,claw,-1.3072216144771609e-05,4.65
19,patient,-1.2983730439758423e-05,6.71
20,kidnapping,-1.2969570679054188e-05,2.05
21,scarce,-1.2860951754030866e-05,3.37
22,takeoff,-1.2818279180630091e-05,5.5
23,shooter,-1.2755427764572317e-05,3.7
24,awful,-1.2559323708357523e-05,2.28
25,disgusted,-1.2508292295589547e-05,2.68
26,unreasonable,-1.2503747921110975e-05,3.85
27,greed,-1.2152496411973098e-05,2.48
28,outraged,-1.2142144681120959e-05,3.21
29,fade,-1.2090531254828804e-05,4.65
30,bleak,-1.1846951157750904e-05,3.96
31,hometown,-1.1806378003858161e-05,6.8
32,sue,-1.1749730097898939e-05,2.18
33,hind,-1.173843328434238e-05,4.7
34,assault,-1.1687157194624025e-05,2.05
35,homeless,-1.1648890781659512e-05,2.21
36,tear,-1.1629084166524714e-05,3.14
37,unemployed,-1.1585301460675008e-05,2.67
38,exploitation,-1.1573440064379287e-05,2.89
39,psychiatric,-1.1527721479327272e-05,3.32
40,repression,-1.1512734598397717e-05,2.81
41,frightening,-1.1474858859925052e-05,2.58
42,everyday,-1.1413299659863521e-05,5.47
43,advise,-1.1302558588617562e-05,5.44
44,compensate,-1.1274390134374812e-05,6.36
45,rude,-1.1256215435073713e-05,2.04
46,strife,-1.1232902602747083e-05,3.68
47,snoop,-1.120549813971953e-05,3.45
48,intentional,-1.1190415475058335e-05,5.37
49,bum,-1.1179932220785186e-05,3.64
50,unlock,-1.1133681667085024e-05,5.55
51,exile,-1.1099396808533606e-05,3.32
52,decay,-1.109201287621935e-05,2.4
53,thigh,-1.1026116732389587e-05,5.22
54,ambush,-1.0996435327810064e-05,3.17
55,knit,-1.0893161802627097e-05,5.85
56,desperate,-1.089142724487735e-05,3.19
57,shrill,-1.0871150514568662e-05,3.33
58,shame,-1.0761377493218346e-05,2.62
59,divorce,-1.0704798518536863e-05,2.49
60,tragedy,-1.0680739674248344e-05,2.11
61,slap,-1.0635694256452832e-05,2.95
62,condemn,-1.0623214138548056e-05,2.62
63,crash,-1.0604018904706788e-05,2.9
64,detention,-1.060002630062784e-05,3.28
65,charred,-1.053727226172733e-05,3.86
66,spill,-1.0498568822460187e-05,3.63
67,damn,-1.0482530503691639e-05,4.32
68,toxic,-1.0456169244422226e-05,2.35
69,interrogation,-1.0422312389935193e-05,2.21
70,hysteria,-1.0379074808709171e-05,3.79
71,grim,-1.0309791869122756e-05,2.41
72,thrash,-1.0299405612109366e-05,3.48
73,cerebral,-1.027864888028529e-05,4.95
74,cancel,-1.0241276598630528e-05,3.61
75,linger,-1.0233533266036191e-05,4.42
76,cradle,-1.0213674386500005e-05,6.1
77,frustration,-1.01507083175717e-05,2.45
78,exploit,-1.0082529680923344e-05,3.65
79,impoverished,-1.0024730956704569e-05,2.43
80,heap,-1.0002166342535507e-05,4.38
81,grit,-9.957159005489583e-06,4.55
82,collapse,-9.945809998250971e-06,3.37
83,hate,-9.907554701384059e-06,1.96
84,rack,-9.897647404388086e-06,5.55
85,muted,-9.896111193286039e-06,3.63
86,fucking,-9.825713520129897e-06,5.09
87,viable,-9.809683425880214e-06,6.0
88,systematic,-9.76360740841814e-06,4.62
89,stupid,-9.696066733048398e-06,2.84
90,dwarf,-9.694337216865448e-06,4.71
91,painful,-9.676977779795917e-06,2.58
92,censorship,-9.662590938569181e-06,3.43
93,eerie,-9.658910075050394e-06,3.4
94,neglect,-9.630232266985216e-06,2.16
95,suffer,-9.616515372012625e-06,2.05
96,gym,-9.569442695601385e-06,5.84
97,distrust,-9.565057630778195e-06,2.95
98,yell,-9.52207636165566e-06,3.58
99,kidnap,-9.521925354203167e-06,2.19
100,contempt,-9.518133775178461e-06,3.22
101,unarmed,-9.50829509470628e-06,3.74
102,perception,-9.500945727158872e-06,6.05
103,spine,-9.49796917078365e-06,5.33
104,burr,-9.488426704581018e-06,4.33
105,hell,-9.479875225910323e-06,2.55
106,sad,-9.46828661297498e-06,2.1
107,tuna,-9.455373851663396e-06,5.26
108,discrimination,-9.437319497162394e-06,2.45
109,renegade,-9.408336498447842e-06,4.53
110,upset,-9.387756344471828e-06,2.45
111,revision,-9.276403760462756e-06,4.62
112,widow,-9.259100544042886e-06,2.28
113,controversy,-9.254662681606748e-06,3.21
114,foreigner,-9.243764573818822e-06,4.68
115,contend,-9.20893978429797e-06,5.37
116,reconcile,-9.186273526316327e-06,6.84
117,drift,-9.163404434934148e-06,5.09
118,disturbing,-9.15838803405479e-06,2.68
119,apology,-9.151464937443935e-06,6.24
120,utter,-9.145395196215786e-06,4.76
121,slick,-9.13850884147934e-06,5.0
122,cheer,-9.120087981292005e-06,7.1
123,grandpa,-9.111884472270034e-06,7.43
124,rampage,-9.11110427768517e-06,4.21
125,slaughter,-9.067849824374401e-06,2.33
126,devastating,-9.054927003226734e-06,2.09
127,corrupt,-9.037545149773637e-06,3.0
128,opt,-8.999962792198094e-06,4.85
129,squirrel,-8.993549659534287e-06,5.71
130,sorry,-8.961632324501439e-06,4.81
131,daughter,-8.95971407335073e-06,6.73
132,worrying,-8.919576930746983e-06,3.19
133,threaten,-8.914595426625958e-06,2.6
134,severity,-8.877508406020715e-06,3.8
135,outdated,-8.873804189826134e-06,3.63
136,momma,-8.873442094297032e-06,7.45
137,imaginary,-8.872994441448215e-06,6.22
138,massacre,-8.869916394387925e-06,1.77
139,vein,-8.863125229516728e-06,5.11
140,harsh,-8.86005737362148e-06,3.44
141,seize,-8.839945527102169e-06,3.79
142,dislike,-8.8162228776556e-06,3.25
143,unfortunate,-8.814533550865648e-06,3.33
144,sensual,-8.81132350601573e-06,7.4
145,blade,-8.807126486733846e-06,3.9
146,pity,-8.805692205231253e-06,3.18
147,cheat,-8.801452134850804e-06,3.05
148,flip,-8.800363863396369e-06,5.6
149,worried,-8.793905129570827e-06,3.27
150,undercover,-8.775934851574843e-06,5.58
151,cosmos,-8.774935525331559e-06,6.5
152,confused,-8.753016948242425e-06,3.11
153,deaf,-8.746836088489399e-06,3.19
154,crushed,-8.743305964159682e-06,2.87
155,mythical,-8.721305640125207e-06,6.11
156,overdose,-8.720759320111095e-06,2.67
157,frustrated,-8.718572375825129e-06,2.55
158,concussion,-8.716824463484799e-06,3.45
159,agony,-8.694347892916794e-06,2.46
160,shack,-8.690803246833486e-06,3.89
161,herring,-8.687681588431806e-06,4.9
162,distraction,-8.686527535476754e-06,4.05
163,gender,-8.637849920589634e-06,5.05
164,murder,-8.623357110485128e-06,1.48
165,summit,-8.607510053881058e-06,5.5
166,chopper,-8.593993372399411e-06,5.05
167,disappointed,-8.584299518068587e-06,2.65
168,appointment,-8.581336860140457e-06,4.43
169,belly,-8.571217439844528e-06,4.37
170,guerrilla,-8.534427140408548e-06,5.3
171,idiot,-8.529938060815929e-06,3.03
172,cache,-8.520978222921935e-06,4.95
173,tackle,-8.507640836306279e-06,5.38
174,helicopter,-8.500136161739312e-06,5.55
175,poke,-8.498586024352032e-06,4.14
176,flourish,-8.495134654841243e-06,7.21
177,constellation,-8.474653150633907e-06,6.24
178,stripe,-8.465672954481815e-06,5.24
179,downfall,-8.463615956168236e-06,3.2
180,timber,-8.460279534383552e-06,4.9
181,remainder,-8.444230034055852e-06,5.63
182,revolt,-8.439988692347344e-06,4.0
183,shocking,-8.43740830207736e-06,4.63
184,kill,-8.437168237736802e-06,1.81
185,foul,-8.415770219002047e-06,3.0
186,broadcasting,-8.386798703191532e-06,4.68
187,troubled,-8.283153036005299e-06,3.11
188,tempting,-8.267281909303073e-06,6.05
189,incapable,-8.260115421203362e-06,3.55
190,drunken,-8.244089345931538e-06,3.0
191,tumor,-8.202634227636821e-06,2.05
192,hostile,-8.200981798975326e-06,2.35
193,gland,-8.169984553996201e-06,4.39
194,arrogant,-8.164841361614958e-06,2.52
195,holy,-8.121962494006771e-06,6.06
196,jealousy,-8.09717962633264e-06,2.58
197,philosophical,-8.096161611385414e-06,6.21
198,decline,-8.08392915684765e-06,3.19
199,logic,-8.083089316759015e-06,6.58
200,creature,-8.080873670516872e-06,6.06
201,blame,-8.07779888634884e-06,2.94
202,ridiculous,-8.065366051665253e-06,3.67
203,candy,-8.053784713542752e-06,7.27
204,pencil,-8.043106833503479e-06,5.65
205,father,-8.035241802286898e-06,6.88
206,ass,-7.971066485608821e-06,5.45
207,pathetic,-7.948008926811356e-06,3.11
208,hack,-7.902864207572236e-06,3.95
209,insult,-7.898278770457345e-06,2.62
210,scorpion,-7.88881920375332e-06,3.68
211,participant,-7.882274223621385e-06,5.32
212,virus,-7.881726180818116e-06,1.71
213,sapphire,-7.868155823588982e-06,6.92
214,immigration,-7.839739318636052e-06,4.0
215,phi,-7.825702243335897e-06,4.33
216,oversized,-7.821659022082724e-06,4.4
217,havoc,-7.818149742845152e-06,3.85
218,whore,-7.79616671147306e-06,2.7
219,jealous,-7.768453097224681e-06,2.38
220,scandal,-7.735683861100716e-06,3.63
221,chaos,-7.721453482597808e-06,2.84
222,assemble,-7.717455491973677e-06,5.14
223,intersection,-7.70934404356142e-06,4.58
224,correspondent,-7.703999178047122e-06,5.32
225,thug,-7.693395068291326e-06,2.52
226,humble,-7.691022118838653e-06,6.52
227,cartoon,-7.690758469675965e-06,6.74
228,thirsty,-7.688734546288286e-06,4.48
229,empty,-7.686037256071138e-06,3.78
230,bait,-7.674119918088529e-06,4.0
231,warehouse,-7.673295667268732e-06,4.43
232,cage,-7.662651473228088e-06,3.11
233,bachelor,-7.649574065379342e-06,5.58
234,coma,-7.628043025611116e-06,1.89
235,suicide,-7.626613106759966e-06,1.58
236,soda,-7.625915276680366e-06,5.47
237,apologize,-7.6130359012207185e-06,4.94
238,abandonment,-7.595645468722161e-06,2.63
239,suspicious,-7.5869518255743896e-06,3.48
240,headache,-7.583263296341569e-06,2.22
241,casualty,-7.56839348479051e-06,3.33
242,distressed,-7.566239174060703e-06,3.38
243,dice,-7.5637213715849345e-06,5.8
244,sheer,-7.560266487127709e-06,5.38
245,tow,-7.559236251693709e-06,5.38
