,column1,column2
7395,speakon,-0.0003465143199621902
2980,âœ,-0.0003313868434042066
6678,estaba,-0.00032084806783572476
1798,gassed,-0.0003194207743291621
3990,sangre,-0.00030870805397243973
7973,carers,-0.00028396176826857755
7457,cleanup,-0.00028369142688649076
4869,drained,-0.00027143045671805066
6151,retirer,-0.0002671871479290761
6680,temprano,-0.0002652033126511646
4078,superdome,-0.0002647742913476075
6788,alek,-0.0002628666935939191
5561,exodus,-0.0002613796431458735
7394,xlr,-0.00026110510139444663
2762,masak,-0.00025870872458879615
791,housekeeper,-0.00025480709630045883
3497,elderly,-0.00025374737365115236
5765,espero,-0.0002491474481662934
4638,aux,-0.00024552008381575533
1399,estar,-0.00024459009804954286
4317,conkers,-0.0002444747540956823
5697,mecs,-0.00024009641430869296
619,normales,-0.0002400077496602604
3128,nez,-0.00023737613066298485
7456,1000s,-0.00023622000944121155
7703,resurgence,-0.0002353369462766111
4561,leak,-0.0002339665525402789
8324,m1,-0.00023394862020200736
8469,tabernacle,-0.00023388884491132674
5116,bottega,-0.00023383283013848094
7301,sacrifice,-0.00023344392741587324
7116,shootings,-0.0002332196023359361
6284,yeux,-0.00023283936284361262
3929,victims,-0.00023241939652456143
1820,unborn,-0.0002315129776382721
8717,floods,-0.0002314934080820343
826,grieving,-0.00023145927209083187
7411,elementos,-0.00022989248495445638
6725,cp3,-0.00022840615589895548
6500,adapter,-0.0002281815084612376
8129,canisters,-0.0002280900569799157
2993,umberto,-0.000227012547144373
2917,quiet,-0.00022587397471883158
8255,20min,-0.00022379359837540678
6741,15mins,-0.00022322094012725447
8582,espiritu,-0.00022215358086785392
3714,notreally,-0.0002217549903451523
8061,bei,-0.00022075435235118993
6517,workers,-0.00022052792327884434
5890,erg,-0.00021963809353913613
7182,nichols,-0.00021960339849946446
5946,faith-filled,-0.00021847939222675343
5846,300m,-0.00021817243146768565
6795,susan,-0.000217935999784943
3774,milliard,-0.0002161390270017683
7385,souls,-0.00021580049823077162
7189,cyanide,-0.00021377190673334628
2499,unlived,-0.0002134078209841378
6278,reassure,-0.00021271026618719264
7952,breathing,-0.00021219631128781947
4287,esperando,-0.0002118249322445541
4304,encontrar,-0.0002105699367605939
2099,pause,-0.00021036934446393602
2190,fire,-0.0002097281807288182
8683,todo,-0.00020948141511219204
8276,mercredi,-0.000209280501977915
4301,ouvir,-0.00020907028283097715
2239,eldest,-0.0002090049820139861
6125,hayward,-0.00020890787212331433
4017,browning,-0.0002088979711601636
1985,worker,-0.00020686109291409132
969,â,-0.00020655027164159602
8150,rio,-0.00020635038389929622
8257,meters,-0.00020572014897371536
3011,tbs,-0.00020534437149741168
2883,todos,-0.00020486352358936485
2360,blood,-0.00020478135232602056
8262,terrorists,-0.0002047445269512277
4644,battery,-0.0002047338583640265
7554,surge,-0.00020470459777184472
4950,physically,-0.0002046453424920643
3981,levens,-0.00020377502691553535
2846,drakes,-0.00020346010644874195
8182,paar,-0.000203391374960316
6529,alpha3,-0.00020330647183160064
1314,halv,-0.00020240251351098465
8786,tablespoon,-0.0002008311755853722
7991,helper,-0.0002007912137911332
6681,cuidando,-0.00020076201880923534
8470,sacrifices,-0.00020065104546570196
1421,dead,-0.00019979126951345948
6098,postman,-0.00019973145775804564
7026,hibernate,-0.00019879604441955346
2332,lives,-0.00019855009647876495
3963,olvido,-0.00019758962593276663
7535,hoses,-0.00019735840038544162
6450,skink,-0.00019523298252769518
8068,wakeup,-0.00019472715618032457
4397,spaciousness,-0.00019458022683937476
6894,guard,-0.0001945573247820066
2990,kneel,-0.00019356664875882828
7721,ppg,-0.00019338840553098676
1156,soldados,-0.00019311538596496143
6122,remote,-0.00019279981941697176
1373,flood,-0.00019276384159924465
3937,yearold,-0.00019220162554783
5677,retirement,-0.000191833029045323
4504,alfred,-0.00019175862268387434
8581,cualquier,-0.00019113738970976294
4164,2001,-0.00019103192798211057
5000,holes,-0.00019071039790276168
5754,los,-0.0001898895445003918
4545,posioning,-0.00018973359370359758
6777,bereaved,-0.0001893950767936571
7215,sdh,-0.0001892080448909429
7114,prix,-0.0001892075579014883
1762,rob,-0.00018912894725888306
2621,rast,-0.00018841447696882582
8384,del,-0.00018810876704204884
1048,carlin,-0.00018802572697350863
6380,mylife,-0.0001872608074810788
4917,thelife,-0.00018707616979676933
6302,infiltration,-0.00018703880320771743
6169,remembrance,-0.0001863205132707039
4580,unsung,-0.00018598727031717536
4007,martin,-0.00018587594518182352
8800,memorial,-0.00018580283693365267
3461,unit,-0.0001852638203396167
4953,sq,-0.00018524434816725123
6860,chiesa,-0.00018502995414676452
7920,spawning,-0.000184927834120284
985,ca,-0.00018375474645074597
2518,mouse,-0.0001835855694578196
7746,fois,-0.00018345601462988373
2185,killing,-0.00018336483777841483
8679,viendo,-0.00018330582879265496
7122,lido,-0.00018330527145534145
8513,apush,-0.0001817460761561562
4905,allen,-0.0001814613954093878
5676,quick,-0.00018115156133488076
1540,trous,-0.00018097663535997214
7298,role,-0.0001808519501623266
7050,grenade,-0.00018079782092914133
1637,mass,-0.00018064053370243197
5320,gopher,-0.000180517090798957
6869,valiant,-0.00018030836266544014
7004,frankenstein,-0.0001801911722243096
2836,fullness,-0.000180033477924374
8803,swanson,-0.00017992703501666687
3836,advent,-0.00017980794282526736
7384,millennium,-0.0001796983798377766
8721,vas,-0.000179332672492647
3034,jogos,-0.00017893310329791408
1315,hjem,-0.0001788932305849894
7439,robbing,-0.00017814533104968202
3992,puedo,-0.00017750527154945792
1888,spill,-0.0001775021990654922
4201,dispatcher,-0.00017742761497003282
1496,flush,-0.00017722054907257477
8305,kosten,-0.00017718547628007558
395,killed,-0.00017715311855412834
8228,apartment,-0.00017711742689909807
1065,tests,-0.00017691696747792088
7911,yet-,-0.00017688736331228466
3637,antoine,-0.0001766745786262528
5622,eyes-,-0.00017663977527940234
1034,mas,-0.0001766338441930221
7055,personnes,-0.00017657061322246036
8673,thousands,-0.00017644654377191055
2643,steps,-0.00017623590758274703
3378,safe,-0.00017623057926251107
2812,lab,-0.00017567260670805433
8008,locate,-0.00017543616478664148
3971,buscar,-0.00017516650930877463
8277,monstres,-0.00017513797292131574
4426,jenkins,-0.00017492222525748139
795,technician,-0.00017471192258900305
8063,tun,-0.00017446026165646113
1155,batalla,-0.00017440312149495202
8529,terre,-0.00017339340597025612
6491,persone,-0.0001732958897661907
4813,uren,-0.00017326163253176432
8004,gene,-0.00017319176889891316
1551,potter,-0.00017311873263649327
3218,smalls,-0.00017303682947722194
8015,klang,-0.00017255192243810963
8600,4000th,-0.00017231080744043958
3635,active,-0.00017216650198321413
8563,swimming,-0.00017216317489990725
4619,spiritually,-0.000171993085418444
4566,removal,-0.00017194745932155292
3819,leaks,-0.0001715365701369002
7194,sperm,-0.00017149270764391455
3181,basement,-0.0001714579955144408
7068,squad,-0.00017142281205165195
6291,tinkering,-0.00017140156419054648
3342,arrival,-0.00017137036718349136
2910,1.5,-0.00017135280183803292
4826,building,-0.0001712880763145006
1037,couple,-0.000171223984094288
5803,wbc,-0.00017094050881854344
8667,llegando,-0.00016955140174584857
5387,voz,-0.00016951292875334796
6885,legos,-0.0001691819044460905
2913,ensuring,-0.00016871298525425026
4236,woken,-0.00016822898605336288
4352,prayers,-0.00016723605182237608
6456,pearce,-0.00016719080586788903
5767,cuentos,-0.00016673056796635287
5714,suicide,-0.0001665512829341438
7552,artigo,-0.000166450234016222
2299,aurelius,-0.00016600150926971146
6558,boite,-0.0001658099223051693
4289,gran,-0.00016579057984074386
4967,successful,-0.00016540955735529624
2463,miracle,-0.00016511155791340502
2763,syukur,-0.00016495049271214056
6875,mur,-0.00016464104897574437
7266,tabby,-0.00016451165562529716
7363,defuse,-0.0001643982341488231
7976,shoebox,-0.00016416995531306163
5899,30mins,-0.0001641573287206952
4632,mark,-0.00016415195888554887
6566,shooting,-0.00016406223922191287
1908,murder,-0.0001640033328740351
1321,kelli,-0.00016398002440698607
3634,retired,-0.00016378517326914055
7341,shed,-0.00016369454569322767
1913,tiny,-0.00016346652756217856
2088,died,-0.0001633165884843595
5972,cambio,-0.00016308645124613755
6965,underachieving,-0.0001630760622962205
4702,pao,-0.00016260149326309398
5074,rememberthat,-0.00016233060288959429
3732,replacement,-0.00016229707434490737
4161,2004,-0.00016228920060913236
6072,2000,-0.00016214684298292148
5256,tank,-0.00016195590569251803
7723,keys,-0.00016193169988406604
5573,meu,-0.00016178681348112418
797,>,-0.0001616491803246429
3728,peaceful,-0.00016157633183216163
5869,calibration,-0.00016145563057302442
2797,xox,-0.00016144276904883544
7195,organising,-0.00016114805002348544
2439,09,-0.0001611315184659534
4449,flooding,-0.00016110844956250718
5830,voit,-0.00016095723557494894
8282,stranded,-0.00016092046796848948
6449,petite,-0.00016078330483299672
8764,protecting,-0.0001605642926414611
5418,assassins,-0.00016053357549955714
2745,felder,-0.00015972943098207948
8114,architects,-0.00015960450569612136
1431,grandparents,-0.00015938360284261174
5551,reapir,-0.000159254348244815
4979,elves,-0.0001591427312525205
1382,smell,-0.00015904180210975973
2742,trattoria,-0.00015889659724539816
2857,vom,-0.000158664176726269
188,alive,-0.00015833708814101793
2668,young,-0.00015816157450013245
8414,survived,-0.00015814315589925978
7231,enfermera,-0.00015807119079467156
7669,1400th,-0.00015789769638301996
1676,hr,-0.00015788640337045662
3356,paul,-0.00015783868677635078
6406,trigger,-0.00015774435379179875
3331,rats,-0.0001575720299639378
2743,gianni,-0.0001575064668341998
4425,ringer,-0.00015745337377796306
8175,nothig,-0.0001573621845332655
7737,herman,-0.00015727528356359422
6329,lado,-0.00015712447721955347
6024,laura,-0.00015711393958667288
3359,troops,-0.00015709946940669812
6979,civilian,-0.0001570412563612452
2891,pre,-0.00015682884566852134
3821,families,-0.00015629722841718972
828,trials,-0.0001558753919083225
1206,wake,-0.00015545895685639718
2664,newer,-0.00015535556138527033
4167,dr.,-0.0001552828302786606
7868,gendarmerie,-0.00015520890993086454
4284,byron,-0.00015513384608430996
5702,attendent,-0.00015489761565433532
2122,neighbours,-0.00015481056120828502
766,11,-0.00015479737945909043
1730,forgot,-0.00015468749764658207
4485,gt,-0.00015463672897083743
7093,nearness,-0.0001540887339427572
2537,awaken,-0.00015405013477059782
7299,gutted,-0.00015389156594081133
1456,payton,-0.00015363039918217742
5011,hyu,-0.0001530748872941802
5389,siempre,-0.00015303107720429656
3504,takut,-0.0001527917605684402
2092,des,-0.00015267136747341615
5766,esa,-0.0001525258277139886
6690,unluck,-0.00015243273553355302
41,humans,-0.0001522415739850197
8452,restoration,-0.00015221383905828585
3420,yook,-0.00015198185854708654
